NAME	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells gamma delta	T cells regulatory (Tregs)	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Blood.neut	V.neut	Exercise.neut	Endotoxin.neut	Active.TB.neut
A2M	12.898081602002222	14.393618396185687	23.728915023951306	13.634874663210294	12.07796414110265	12.330490949670025	10.259025439009957	38.23717382450698	64.21320112554943	14.7877430771306	35.14331075019709	11.135163270916182	24.283930482066637	1803.8183151118055	1379.7822886994827	6681.499363641174	8720.833597343293	6753.123639855358	583.0108912022991	865.3020407764427	10.126040181235346	29.80554463098939	109.75709245633685	12.165897373094305	39.651644133830686	32.21629521022558
ABCA1	373.36777212043125	311.78297151046456	87.34575130810302	56.868980357325114	99.63584467439341	48.09656512782706	63.82773907297955	64.26576044269783	90.4170516784215	58.65708701466869	52.5677744074423	41.06637650163245	360.1753359644406	1341.052812812432	570.396002809976	2678.150940863976	91.3980585416883	67.73710118689799	1255.5755034395877	1135.4206045394017	3847.9053015550844	703.2141487874194	730.1962039293585	756.554077167703	885.5223365340681	1376.6531922556317
ABCB1	299.57309168100096	138.65378090587	59.34947192064885	531.2761000099472	153.25877983448063	221.7869275626229	146.14098212754106	64.68262731146241	955.5022811607295	31.76466540434057	933.511477479102	344.12705518498467	30.78940353432261	28.05138575376455	41.60585625519318	31.769861235267733	48.314532682397584	37.644571869164494	109.19720565430306	146.3846546597145	19.84309618599163	88.58611572737908	9.839851025603705	80.59338611666354	23.266728656840645	68.75230813823937
ABCB4	369.5584435723751	8.156312963367323	6.1447588051749475	4.474777575800998	4.6421230946523595	6.311867444482847	6.710089136695682	5.763190909190565	7.3159031730011135	6.3614542433641414	9.673876105560444	4.619494732505556	5.544750376119744	6.5420857940118475	15.992795131713619	58.67590252259309	55.33348613467642	4.798563061069531	4.710705097968539	18.125397375080528	10.239491212781221	31.971682225051715	8.584347883157623	63.63536522305422	134.16017566340085	6.2027124697527585
ABCB9	10.586654601855106	13.728047857182972	452.9170094636766	14.679314869483514	19.873220861477005	17.16616787571857	20.882644991435843	11.620053366688294	12.43589114829183	23.88058740009594	13.625062609050811	11.077452149056255	12.76924489591337	27.94510466756423	16.799285881939774	21.602834976288033	59.34168531098973	14.172978862548469	27.231639046077426	14.249724388830286	16.82506954384249	6.587422214155552	8.521581282492903	81.66919179219745	217.88990266024553	13.767534672552777
ABCC3	13.734585624456692	14.304096546713783	13.015768876802195	12.086948712021861	15.76328907058345	13.776545444502183	13.210782036741545	12.858645940770934	13.448007919831717	13.282890748174033	15.353069384181882	11.121711360116556	112.7812106002961	1307.9796457715238	59.64374696319231	1126.324135803349	1488.5216401123207	489.2713976239922	14.944313818839142	37.398595133146344	17.45528344139054	9.249211714013683	11.89874147569932	51.192009384796066	74.77439901578838	12.436376158879389
ABCC4	32.201417073113944	112.90277319848607	223.88245217835458	116.80652885979553	62.75281654817373	82.91407289217817	106.83099792571944	76.59571397084866	164.2349243848239	37.734329901105895	73.02264694507419	114.04704244387548	40.07677217111846	109.99000554949745	1397.912430764596	197.63002834892876	296.67989554911327	425.52338719783563	3275.005227397094	1721.7991185593748	76.2201775035889	9.255484690014613	11.546627985762322	96.4880700639462	70.49198052345133	30.196195050421075
ABLIM1	1260.2342494217492	1462.1663955570248	97.7507677168829	1937.1920430242785	4625.592931374653	1774.5541123555722	492.8634483878243	1112.4364279212411	741.4976983673254	1575.8742797063983	987.6803493244922	140.41873702716788	61.913206312870244	54.48340771929254	53.21669689223319	53.55162218267432	55.523104494974476	131.66948527006596	45.1103309902402	38.96971938144867	92.09125250432992	53.94705258760054	53.81592535287387	518.3434811841834	285.9760865928479	198.36439141444376
ACHE	10.352626192913682	11.118070964981328	13.602146358353533	9.627789117810071	16.082028814476548	12.039334627469218	9.505133328944275	10.204227056343475	18.530927226499102	14.7292310936519	11.117146466301541	9.525387028402587	10.964142814339588	9.535801501081298	1052.3078013543939	24.892347556127785	11.071968528118946	97.77005929482067	9.69314219950886	12.769575799720474	21.616914919321086	5.375415968519419	6.594303680255132	69.25874614250927	37.35568838742243	14.301102191991577
ACP5	413.42809277268276	1593.0165282723592	864.8107682704286	172.96354820432765	533.8187901344962	367.0808555761163	132.28185244744208	502.65799629988743	313.9256103768744	713.4555512580072	195.05505182650057	127.62111916398075	325.8263280933139	11501.616677042595	786.2975140331043	6346.005052675633	11586.071350415696	3265.305779893065	147.02598791632357	181.18309909962468	632.1434102113484	306.28059124340416	58.584678997533764	137.3767132262028	17.59899524887606	246.41071403219212
ACPP	176.70900569964184	99.13642316962245	72.0162815426489	26.117426295549322	35.919937261051764	32.10964833738385	27.130869294577383	33.88814049992108	94.30258845004477	15.164602277768086	36.716363164202264	35.95368758565458	389.99354210431045	63.09454271178525	375.06890856127234	97.30081903206747	111.08308188244558	174.87311482541602	138.25433650304024	141.35645930307675	1639.2133464186304	834.0822885309215	670.5400769573044	236.51100142068356	313.62108850828105	50.35409499253209
