NAME	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells gamma delta	T cells regulatory (Tregs)	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	VAT.neut	Other.neut
NLRP3	13.734585624456692	12.975872527994929	10.4301226174888	10.51932396346227	12.07796414110265	24.992698732439642	9.903018846409157	8.611175125897807	26.464125666719195	16.233763602230702	23.376707865374755	43.23280190083895	429.82616279871996	18.010401743946826	20.433250831617624	178.2844699507206	173.1473395984896	12.506960949388827	15.665891240527255	257.5667322338656	34.10196666503603	1720.3666715498473	199.7086894489217
NMBR	323.705615484855	381.2241657010629	129.19484613334066	24.234996811696462	7.045197811530425	17.634869868462758	44.833163897150804	12.71752180427299	94.27998984956531	58.31032568464205	16.90270237629323	24.785633015941755	37.936605251426826	25.0438887629616	10.991302523482487	19.41359931705265	39.41511874771148	11.435518396498217	8.339165528541217	14.540855445223059	50.512339502485396	23.84999027283547	10.82909077015167
NOD2	6.029788731196087	7.817815779402842	118.93076960626665	6.875142578938137	6.935042345671313	60.286271755644165	72.47498565046071	56.37312709581816	72.68676900869016	22.21692732428071	90.75956243288759	83.0092255975519	994.1989669482116	43.32539653671013	1740.4028613229848	570.396002809976	17.41320238806223	133.0030201955559	16.988374449958698	6.505600377492119	419.5859738280786	121.51325144481721	523.9705365140923
NOSIP	129.41757967381295	235.96048721430662	244.68510091769681	3835.0046673458814	6644.307199033531	4165.791103952426	256.6488555771729	844.4278909100881	1746.2418969779824	796.3119114903191	731.857592513192	382.3872016315822	291.5588870948334	274.186095715943	198.29186150772793	185.10675289598026	228.12816003179998	216.04776770674425	387.7414422262763	295.2783198085405	445.97425085266514	544.3566919844358	781.2974267009346
NOV	56.07383480385181	39.259732581803235	43.46707693556228	16.754995446319292	45.912696604253945	35.72006498760297	23.245410905842512	21.219157785058293	55.347432546836316	26.515711893645147	17.513049550140078	30.7323217483309	31.83413543528188	46.67228549995005	22.712155559654928	21.888668382391185	34.88796546822818	23.522831493106175	97.85264603742871	66.5390996208796	816.8826780793725	200.0814253842606	345.27316463118757
NPDC1	29.367904288143336	36.32692560470931	78.05903734414687	70.09840658370865	16.96115239361755	260.1308075818181	146.60020114214635	639.7409920409082	137.00486461796726	608.451201454956	20.50885715894197	30.062126933693097	38.10039218445639	22.856014209430878	23.949336200616308	41.41977642488822	49.968416680796025	49.04508069328194	32.07103472691858	32.08044200484293	83.9567775035421	174.04739316828716	76.1404478832037
NPR1	23.38121503046218	22.553109400143533	28.16587089818515	16.79680976442087	23.551269913965005	17.46327569143253	18.37648580598035	16.491360847166295	18.649216222745142	29.985254537167364	15.542178834701012	16.169747834493474	18.573176274577406	34.372199668385605	26.05189650392221	18.70815368622179	483.7996493522501	103.99883039867805	15.773997129478335	11.099581754586406	22.970984661167858	211.6550716176209	91.00950932780943
NR0B1	17.136596590551427	27.06295847231543	25.925098803043625	22.574469469771387	37.40204704389155	34.40697936695335	32.463734563000884	25.250850309066568	42.15407267456918	33.0463239487439	16.639931061711618	11.099277545874443	15.873606437654118	27.39280035795658	27.664566365475046	18.46656923648604	29.075394277830227	41.524801441422724	426.2732616113235	451.49531662122473	62.69946160995157	25.47087224633077	20.13465624350942
NR1H3	49.72554475730463	43.57571419317071	85.6394123176136	33.52191478234239	39.04552907372756	46.57442093829169	49.44163553274806	76.51687314522947	43.8925669451609	56.358736193198986	94.29220344859552	45.18226066949573	56.4400236404732	1870.4240414636154	2345.788928466216	1486.4424663556938	108.88548114756279	112.54008479957787	94.18004212906726	132.54678085657332	25.041666436688956	5.611565954789228	25.064236614755274
NR3C2	268.63158951299704	120.73399427929922	38.22324639990982	310.8661381037515	465.42100648297713	438.0076777311705	57.8967006552593	39.72891679150898	185.7323615698991	11.687016086805054	17.351473856309955	19.572554840133716	21.67311262485942	10.05734921872546	9.442916845401818	30.421638681765284	10.586446126677252	11.043147223291845	20.034256829230113	13.993934295459782	36.51158330518561	8.20650148021713	47.8486048557709
NR4A2	187.97456302369682	297.2030215962235	554.7331322047523	636.4277351045205	140.61996172205642	430.6673676315832	124.45436751403889	2799.8819436194267	79.68657964879948	324.85012806873436	109.65524821974779	121.00263139813505	401.1230599252442	25.6438709954461	55.00992157610184	32.47947389904723	36.34717629460383	44.22011215550696	59.01103878395574	1022.076576591431	4903.5879815610615	4604.253813424033	293.20809606026296
NR4A3	65.89156661841108	70.98854571350822	64.65341001645162	41.26298117671621	57.42856396594645	46.852552337221944	175.70092576284353	82.46440691189486	78.22901289774236	311.28163936643085	40.1501950663181	70.45513316163796	43.997950922971285	100.83397489896542	270.4511096295171	48.060638005168556	293.62674833774645	1790.034218245463	61.85252102696937	949.5779760943808	3511.9211662309126	10621.329680151288	52.33309353305073
NR5A2	47.69446625954997	28.55716035036653	16.72541477934663	15.828901119148423	7.864006764286147	25.019199964012497	16.31648447900478	19.514366087030332	37.997045689732644	24.879915655512743	16.707309619403777	13.734585624456692	13.85986724545996	14.186873199216492	10.807083052107798	17.32370402034088	11.465667632273195	23.371633695468006	363.9396684421452	111.78175963136708	19.967812452635812	10.712111545040495	29.148688190835493
NRGN	12.253716899723578	11.766502996953541	17.29160673585904	12.941109488794503	15.007467335379461	10.488365198448399	45.89167357042394	13.315706848365947	59.465376149700575	13.928745365191979	14.194185157883082	13.130306796764526	911.8721959863271	180.03130497567082	12.298978839904624	19.69242488637401	258.6255710569393	16.334036958434073	13.519010179300501	22.283254058111684	15.992667703788936	90.08453750142755	163.2296497138589
NRP1	6.821834412584033	6.059126002655766	5.9723726550967475	5.601217956449309	9.393774255201135	5.71953918495552	7.877212780824339	30.062126933693097	10.427027552851152	5.673156259187515	5.868916926352591	6.85963693155558	8.089703089498176	1048.070490939885	63.977905898103025	1228.6232624432332	1408.0570550464467	131.0818568042692	429.51644407104726	412.89637150595365	6.79961535540263	116.55276000474606	46.48228915724407
