"NAME" "B.cells.naive" "B.cells.memory" "Plasma.cells" "T.cells.CD8" "T.cells.CD4.naive" "T.cells.CD4.memory.resting" "T.cells.CD4.memory.activated" "T.cells.follicular.helper" "T.cells.gamma.delta" "T.cells.regulatory..Tregs." "NK.cells.resting" "NK.cells.activated" "Monocytes" "Macrophages.M0" "Macrophages.M1" "Macrophages.M2" "Dendritic.cells.resting" "Dendritic.cells.activated" "Mast.cells.resting" "Mast.cells.activated" "Eosinophils" "Blood.neutrophil"
"1" "A2M" 14.1098793161183 16.074746787137 28.3088349541451 15.0720572940423 13.2410293952323 13.5933204325993 11.0181115291114 47.9652830623157 81.7356679975355 16.996916498445 43.5302054000697 12.1231656292596 29.0003117166414 1912.67190986181 1496.54459441389 6953.11917144383 8947.62650084516 7059.68826779476 662.62639450932 946.284265732093 10.9094629946486 34.5730217751301
"2" "ABCA1" 440.64602186941 376.836100346515 114.761299877495 72.8175664834876 127.13428954525 61.5866409752027 83.6979087513241 83.8037473239806 117.391220152751 76.1001219004097 67.5300905387511 51.7279536929227 430.573133048747 1445.76087714218 657.893526235875 2816.44153698953 118.390671174265 88.3055185808157 1339.49191940148 1229.69670497068 3862.18648657985 878.198925802374
"3" "ABCB1" 362.753669314762 178.92581657235 78.3499826450321 605.277766047507 193.224921108883 277.098716224279 188.351827452867 84.2339559327428 1035.64735457477 39.2773314057041 1019.98695507506 409.562031456016 37.6239587195331 34.4896905782872 52.7873228190955 39.0273445632195 62.354923603299 47.5978533093373 141.521659850851 188.033484421106 23.1968272026436 118.759884045667
"4" "ABCB4" 435.90404583498 8.5132765536596 6.24254805785145 4.31803135876998 4.52564379904223 6.38118810860051 6.79999371604051 5.79478781856071 7.60357680683291 6.59004651567948 10.2756975545771 4.51444583333127 5.59878525724729 6.71336630010791 18.2267782831641 75.9942892636916 71.6155638960343 4.69111229377438 4.59878245413567 21.6978065020181 11.056579693608 12.7303373161935
"5" "ABCB9" 11.3901022830032 15.198250888117 528.667466795133 16.390379897749 22.9739451524615 19.6872347811567 24.3434605618789 12.6328039423545 13.7801049834937 28.5507133486224 15.0319748996851 11.9317983349337 14.1209507028 34.2343415141392 19.2710174669735 25.3801055880333 77.562316376561 15.9686635434023 33.2819870844353 16.0228129256014 19.4607973822365 7.07179289948358
"6" "ABCC3" 15.3311978063026 15.9589852696841 14.3251854893703 13.1732595172003 17.718229363096 15.3113041437149 14.6336244702997 14.2535296773893 15.0556066703717 14.8092529892522 17.2036956279245 12.0911503601658 145.983687420349 1416.47417686767 77.1687533363828 1235.41796704954 1595.6536123198 576.193461221299 16.81019816473 47.584950766432 20.034038909844 11.5523409635927
"7" "ABCC4" 40.0378506300618 145.546254767511 279.172153602498 149.750810967128 81.6394411737448 107.452392978145 138.733639795955 99.6917154646522 197.317817879963 47.6326507440911 94.1128628520628 146.340545612948 50.4389809915992 143.655038068788 1515.63093815868 251.34150152434 360.816346897003 506.28187291036 3319.09054748638 1812.69685030419 99.7692179651682 24.4029489351555
"8" "ABLIM1" 1335.66038118646 1527.41011036874 127.291099716583 2029.6454267483 4482.26290910566 1877.97778987524 573.84136886759 1200.66375326215 830.037349027511 1673.05833258989 1067.43268338243 179.141808146706 80.3869423447661 71.0637259591428 69.2191194349725 69.7458315879544 72.1851833939688 170.111373275035 57.2967495893854 49.3207538190524 120.789446015305 112.694614754532
"9" "ACAP1" 144.83718480399 229.986437060965 24.4463577387737 884.574246542846 1533.63723681259 766.505943731639 246.522769493121 932.621918840012 205.594145461484 1716.52289329949 393.508864100088 283.082909403346 125.618180628125 30.1135824437691 20.1037259671223 15.7834641562127 37.3578077595834 17.6032121474468 68.5283561706325 47.1140192725262 561.858181386589 1420.39378536596
"10" "ACHE" 11.0977162929908 12.0453085002961 15.2071402780777 10.1863932173606 18.1815850758271 13.1318259143273 10.1260112592468 10.9486877899507 21.6134015089458 16.656076953333 12.0239627015844 10.1175066343516 11.8772885640902 10.2915714435107 1162.03185902509 29.7967779780345 12.0877761943783 127.798943292946 10.3546428361109 14.1721923247456 25.5681808774643 5.58805186043743
"11" "ACP5" 481.734680702144 1663.69628678573 951.625254955206 217.548258615041 604.127594340156 434.56197470693 171.154761018773 576.105204772885 378.333077559502 798.056034209756 244.710417222928 163.533724139917 393.622125214777 11744.8810670313 886.080321008405 6563.56744033537 12042.2481308582 3448.50157581358 185.801831149907 230.437204919453 706.202611107214 296.993855797347
"12" "ACPP" 224.566030271763 129.242586455637 95.0626876507594 30.9233623457882 44.5736850093059 39.3746730497854 33.0722246101987 42.0980669704657 121.79692120109 17.3171522321907 45.5704916080191 44.5554125112154 467.401789623333 82.7087091561062 450.129287408328 126.195562616811 144.341767118107 224.363639896346 176.436277155453 180.009816446763 1709.91594449802 872.488833580317
"13" "ADAM28" 1669.45044634773 966.394453812911 233.677738936613 15.5672588686212 25.2707128246022 14.7640719372294 11.2149994445564 16.4926619280727 16.43272201057 47.9182358694495 127.897997873566 58.0279133410658 35.5944133752334 33.5663576207295 190.689507361394 259.927506348142 23.6995460556373 32.5371778975832 87.4873016764203 73.2855918366211 424.672584556611 169.244639035733
"14" "ADAM3A" 5.92240786783751 15.7330538968646 5.24730855596721 17.0178400200483 15.0580013008184 2.32240916045914 5.1356915983491 16.5615103726762 36.508070074718 26.5016125760145 4.59290133870378 3.51445498414101 4.76043314458484 3.48193039845186 14.6610671394894 5.10592239912452 7.50338637295201 3.45630815387414 3.8265816194742 17.9060124331821 3.87217605658337 10.8824351376352
