Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells gamma delta,T cells regulatory (Tregs),NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Blood neutrophil,V neutrophil,P-value,Correlation,RMSE
GTEX.12WSL.2426.SM.5GCN7,0.0485400006193462,0,0.0979345694750611,0,0.00447147635028223,0.168460369864603,0,0,0,0,0,0.0184633999690071,0.00541039315225324,0,0.0141837049287436,0.296584928855454,0.0020910439976887,0,0.102008579292398,0,0.102894402116313,0,0.138957131378849,0,0.0753919765475882,1.10699746487517
GTEX.12WSL.2526.SM.5GCNJ,0.0165303129000744,0,0.0702100331634119,0,0.131647345665798,0.205604236512966,0,0,0,0,0.0781470886224894,0,0.0981375806870813,0,0.035570030143591,0.104372580711481,0.0723093388815972,0,0.105866724091155,0,0.0756184805854697,0,0.00598624803488546,0,0.042266931449313,1.07604339357406
GTEX.12WSL.2626.SM.5GCNV,0.00191585230269007,0,0.0797382147760277,0,0.150829903696489,0.0190867835777829,0,0,0.0475462070493881,0,0,0.0235507248542607,0,0,0,0.264881482356863,0.0180674380460288,0,0.0953814611920019,0,0.200040232009663,0,0.0989617001388056,0,0.0265339161928135,1.13388823243865
GTEX.12WSL.2726.SM.5CVNL,0.206276026884252,0,0.163030412061021,0,0.24216451466804,0.0697356561307536,0,0,0.0175251209730906,0,0.00587438409192115,0.00246368023787217,0.00199958009013792,0,0,0.101190846463153,0,0,0.0377555789781435,0,0.087032757110234,0,0.0649514423113815,0,-0.0175602278853153,1.0952140294303
GTEX.12WSL.2826.SM.5LZWL,0,0,0.0337024375873178,0,0.114926496644271,0.146709898384119,0,0,0,0.00116831941559437,0.0180645061466374,0,0.00671165073926536,0,0.00610015695345633,0.177971794124511,0.139264020348074,0,0.0579014240310271,0,0.170762622396934,0,0.126716673228793,0,0.072198145281972,1.09448819003525
GTEX.12WSM.0005.SM.5NQB3,0.0159091406417493,0,0,0.0675893472535897,0.00576297923847016,0,0,0,0,0.0207579061639788,0.108834866944543,0.0252611190098795,0.0390666960822609,0.0266177639374997,0.00538428574322526,0.000503943811789,0,0,0.00323921212052875,0,0,0.433273831303335,0.247798907749151,0,0.62182050668335,0.802738412147443
GTEX.12WSM.0008.SM.5S2VD,0,0,0.16431767240628,0,0.219845529912231,0.0525122855323284,0,0,0,0,0,0.0590340215117218,0,0.0533980540029515,0,0.0134031385715692,0,0.0687441010644644,0.0952286133435855,0,0.167891155552679,0,0.105625428102189,0,-0.014307372751197,1.10861787270155
GTEX.12WSM.0011.R10a.SM.5DUWV,0.00794699004055347,0,0.141641332486472,0,0.536802079460014,0,0,0,0,0,0.0361282308216445,0.0157107112068915,0,0,0,0.091373910681744,0,0,0.0262659214611111,0,0.102183142038285,0,0.0419476818032836,0,-0.0118797919932018,1.10853590137414
GTEX.12WSM.0011.R11a.SM.5DUX8,0.137593074692933,0,0.170160027907353,0,0.475098610150825,0,0,0,0,0,0.00374280606435582,0.0267386459057069,0,0,0,0.0586663664381975,0,0,0.0297516920719362,0,0.0961431226022318,0,0.00210565416646091,0,0.0226478349292495,1.0902983612115
GTEX.12WSM.0011.R1a.SM.5LZW6,0.0838050485458253,0,0.103849439977907,0,0.548160386837102,0,0,0,0,0,0.0307233158862765,0.0104368485487115,0,0,0,0.0720682190858205,0,0,0.04380417562221,0,0.101698964006406,0,0.00545360148974118,0,-0.00797884020596809,1.10462042469091
GTEX.12WSM.0011.R3b.SM.5LZWI,0.13761436978527,0,0.00647112676024538,0,0.321605183104897,0,0,0.0075857150910299,0,0.0413435388626914,0.077451541811159,0.0280543005776856,0.030890885685901,0,0.000890896135846408,0.113124685255817,0.0114035990543618,0,0.0762350594424047,0,0.0241175372817789,0,0.123211561150911,0,-0.0275980151936257,1.09791911077916
GTEX.12WSM.0011.R5a.SM.5EQ4Y,0.0496659991453766,0,0.141394611571781,0,0.4694077727015,0,0,0,0,0,0.0270369922606955,0.00799064257351911,0,0,0,0.142698200443575,0,0,0.030636717353213,0,0.124404591886527,0,0.00676447206381205,0,-0.00369764205746377,1.10342963024568
GTEX.12WSM.0011.R6b.SM.5EQ6N,0.0852428606956489,0,0.123643839898822,0,0.509437650594074,0,0,0,0,0,0.0291852636767983,0.0200237721081008,0,0,0,0.109919325632671,0,0,0.0234970641439321,0,0.0692315199830213,0,0.0298187032669318,0,-0.000870028412332948,1.0970632012402
GTEX.12WSM.0011.R7b.SM.5EGLD,0.0786624484908134,0,0.0931578438122629,0,0.465210891336952,0,0,0,0,0,0.048796270526027,0.00826889194973736,0,0,0,0.168416774337099,0,0,0.0239808647190398,0,0.101813335495488,0,0.0116926793325804,0,0.00401479718818412,1.09857090314822
GTEX.12WSM.0011.R8a.SM.5DUWJ,0.0444551789786086,0,0.118469516042613,0,0.418755938978356,0.0904940852813386,0,0,0,0,0.0121729911085513,0.0150642223867445,0,0,0,0.124254488921842,0,0,0.0257716603256424,0,0.149381927217612,0,0.00117999075869177,0,0.00454925798165653,1.10077303950107
GTEX.12WSM.0226.SM.5LZV6,0.00654109149924569,0,0.0151541960681989,0,0.0926921229939935,0.109751149941451,0,0,0.0247570167361953,0,0.012805429527955,0,0,0,0.00525296288142557,0.390820260700975,0,0,0.163716559650694,0,0.0274758972762116,0,0.151033312723654,0,0.0792899851464764,1.14294070471618
GTEX.12WSM.0326.SM.5LZVI,0.031887183939351,0,0.109847365404282,0,0.210307285991154,0.17937774733446,0,0,0.0122150854360904,0,0.0298713318089434,0,0,0,0,0.123170178611261,0,0,0.0633332623403909,0,0.0988069841905089,0,0.14118357494356,0,-0.00846861786739361,1.09911538186997
GTEX.12WSM.0426.SM.5LZVU,0.0481893181144488,0,0.0501411886905028,0,0.313149199516208,0.0626834625235714,0,0,0,0,0.063444705099407,0,0,0,0,0.112679592553887,0.196529491603255,0,0.015536408708154,0,0.11120765306154,0,0.0264389801290254,0,0.0590461068126605,1.07256612723345
GTEX.12WSM.0526.SM.5GCO8,0.00941454762401312,0,0.0805690032124942,0,0.159336911629617,0.0511206422789899,0,0,0.0158457778364709,0,0.0121214876355605,0,0,0,0,0.0917565623911847,0.0335604511554202,0,0.0321351937518587,0,0.126268166033017,0,0.387871256451373,0,0.00926798015038851,1.17891330000912
GTEX.12WSM.0626.SM.5GCOK,0.121792455137129,0,0.0108933117406103,0,0.0578124012844996,0.106113528767695,0,0.00480754129383296,0,0,0.0153057992893426,0.00442818253649811,0,0,0.00314327368298538,0.365225893586131,0,0,0.0790178638848507,0,0.0406869151832884,0,0.190772833613137,0,0.0879775881345849,1.12481726939712
GTEX.12WSM.0726.SM.5GCOW,0.139832022096436,0,0.198444088492584,0,0.0276215477683473,0.0809291036326414,0,0,0,0.0324251992030242,0.0511724903430119,0.0497488177483225,0.00579095963759354,0.0790488172133447,0.00191731458574605,0.0934643976525274,0,0,0.0907826556706071,0,0.0184252945692145,0,0.130397291386599,0,0.0353078988927484,1.07900369650026
GTEX.12WSM.1326.SM.5GCP9,0.0615909736959838,0,0.0114971581060311,0,0.128582013969776,0.242210023276796,0,0.0395454300227769,0,0,0.0323210055273155,0,0,0,0.00671734547311799,0.243878421163378,0,0,0.0883894512579586,0,0.0429992746549293,0,0.102268902851936,0,0.0146705165180275,1.10178841973396
GTEX.12WSM.1426.SM.5GCPA,0.0459780185308641,0,0.0405627710368254,0,0.27333377051447,0.0290585043031599,0,0,0.0338431999379609,0,0,0.00274148573867397,0,0,0,0.209076102334792,0.0688183139755004,0,0.202264351166217,0,0.0247175266592175,0,0.069605955802319,0,0.0547929334249632,1.08205860283309
GTEX.12WSM.1726.SM.5BC6J,0.0869292085687435,0,0.0301167892789193,0,0.0739234231102628,0.133782523795589,0,0.0161930134296513,0.0226049394536966,0,0.00396435736102668,0,0,0,0.00064119891162978,0.181237055349679,0.021003454869047,0,0.0742255860748216,0,0.0813767955192335,0,0.274001654277699,0,0.0921467540614717,1.09069651874024
