Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GTEX.1117F.0226.SM.5GZZ7,0.0243936766664623,0,0,0,0.067700597693116,0.149307361321683,0,0,0,0,0.0867873204232736,0,0.0220752764713415,0,0.0219202258686114,0.289923839242465,0,0,0.337891702313047,0,0,0,0,0.0870155847450296,1.0576161424843
GTEX.1117F.0426.SM.5EGHI,0.0292152445198533,0,0,0.0949235063360815,0.00148107072621285,0.109592833360571,0,0.0996087664726459,0,0,0.226958458819395,0.0078122653880911,0.0648774308877427,0,0,0.333644178913751,0,0,0.0318862445756548,0,0,0,0,-0.0293812765856296,1.11846469930318
GTEX.1117F.0526.SM.5EGHJ,0.342253359313411,0,0.0205960578944479,0.0069566401348749,0.049539048844248,0.157590386355785,0,0,0,0,0.0867262185132327,0,0.0199342206384014,0,0.0285623315192525,0.258892109177681,0,0,0.0289496276086661,0,0,0,0,0.163530096189624,1.03521400848407
GTEX.1117F.0626.SM.5N9CS,0.0966034814300565,0,0,0,0,0.351750210982114,0,0,0,0,0.056988093941619,0,0.0242484193286467,0,0.00979690588807648,0.41651946583441,0,0,0.0440934225950771,0,0,0,0,0.0337509396511727,1.07648043398745
GTEX.1117F.0726.SM.5GIEN,0.149962625697976,0.112372695033879,0.0412456155713769,0,0,0.339786057789537,0,0.0344155971378805,0,0,0.0646135311588032,0,0.0273744800997292,0,0.0150776230824132,0.193345199235195,0,0.000816905546945493,0.020989669646264,0,0,0,0,0.257079481567157,0.986982116013506
GTEX.1117F.1326.SM.5EGHH,0.264425555539903,0,0.133744337217121,0.220486418543954,0,0.181423836562918,0,0.00779911392098041,0,0,0,0,0.0453048475944658,0,0,0.0814835592396569,0,0.00409196453091874,0.0525402420293042,0,0.00360253727869265,0.00509758754208508,0,0.425169631579343,0.910609778641101
GTEX.1117F.2426.SM.5EGGH,0.088548243400181,0,0,0.0505983459653408,0,0.15552168791472,0,0.023285023497482,0,0,0.0437856191854222,0.0114266594276327,0.0153566522009265,0,0.0071156371385877,0.287079611119921,0,0,0.307007402210158,0,0,0.0102751179396284,0,0.0268474092944651,1.07653693993167
GTEX.1117F.2526.SM.5GZY6,0.0340841435228476,0,0,0.193431856998406,0,0.385907275693888,0,0.0170110345133409,0,0,0.0492186080597146,0.0663712781222008,0.0424558056031391,0,0,0.123881247968457,0,0.024198113399314,0.0634406361186917,0,0,0,0,-0.0117557773810377,1.13409032790642
GTEX.1117F.2826.SM.5GZXL,0.123534554805277,0,0.076170204564291,0.0217850616451283,0.0318386917229252,0.126344490862569,0,0.0205686738270606,0,0,0.0434017504882911,0.0133891760144922,0.174869836187982,0,0,0.236226360514076,0,0.0517171297030601,0.0801540696648477,0,0,0,0,0.10270031142476,1.03474442849613
GTEX.1117F.2926.SM.5GZYI,0,0.0220413833218538,0,0,0.052153747714317,0.155179215885526,0,0,0,0,0.00346174981306892,0.0284984917123478,0,0.0539312907027204,0,0.191531231030708,0,0.00042816931267132,0.492774720506787,0,0,0,0,-0.00702567678227524,1.13510256825113
GTEX.1117F.3026.SM.5GZYU,0.23280258401699,0,0.247355024316958,0.0616892903211071,0,0.136465306110297,0,0,0,0,0.0436473498831046,0,0.0195401406956536,0.0258713452664525,0.00277517304061791,0.129627361717845,0,0.00767516728239554,0.0925512573485799,0,0,0,0,0.496755256356289,0.869197035785845
GTEX.1117F.3226.SM.5N9CT,0.101122688798598,0,0,0.0322555394643428,0,0.295317842277638,0,0.094064473064526,0.0592515072858567,0,0.0175249028040104,0.0738600234260286,0.0757218302947189,0.100667764538086,0.0007386742723058,0,0,0,0.145329462332808,0,0,0.00414529144108086,0,-0.0375563397658979,1.11525677536673
GTEX.111CU.0126.SM.5GZWZ,0.00943922085540248,0,0,0.0077681275399709,0,0.347130417864815,0,0,0,0,0.101908194326157,0.0181793027981118,0.109584426888627,0,0.00549478394800562,0.250940566034507,0,0,0.149554959744403,0,0,0,0,0.0155027130968494,1.07863524365697
GTEX.111CU.0226.SM.5GZXC,0.0481181130791044,0,0,0.0896565446615097,0.00566992463530286,0.221365934579871,0,0,0,0,0.0473910058412829,0.014376531396113,0.0830262859200832,0,0.0929165662638293,0.363200776303042,0,0,0.0236029899508066,0,0,0.0106753273690548,0,-0.02582375322021,1.09949928516054
GTEX.111CU.0326.SM.5GZXO,0.0191899229135703,0,0.00251328433135067,0.0211520076031025,0,0.120080620988446,0,0,0,0,0.0846116047189842,0,0.357305226839338,0.0836604163544298,0,0.101348298919728,0,0.0644575347564141,0.0395134377078146,0,0.0369942598888922,0.0691733849779294,0,0.260216168075984,0.984692373567284
GTEX.111CU.0426.SM.5GZY1,0.181816073938156,0.262835409595247,0.00365203222612728,0.0454946596881344,0,0.072137504655105,0,0,0,0,0.0618788370731743,0,0.150311332879382,0.0393672223261733,0,0.0818839242826292,0,0.00346678601358429,0,0,0,0.0971562173222869,0,0.619396257189889,0.790034230449506
GTEX.111CU.0526.SM.5EGHK,0.165072800062655,0,0.00325900161660235,0.116662703589441,0,0.171632479816982,0,0,0,0,0,0.035985071503268,0.0302093621505845,0.0226679686304298,0.00637550280609767,0.3329484329166,0,0,0.11518667690734,0,0,0,0,-0.0595427520735544,1.10475097013964
GTEX.111CU.0626.SM.5EGHL,0.043883874133387,0,0,0.0492429273370716,0,0.189892035553445,0,0,0,0,0.0939618210920882,0,0.0546140854185158,0,0,0.262088774006998,0,8.81676233923309e-05,0.305429880000594,0,0,0.000798434834508128,0,0.031862108594159,1.07593019912308
GTEX.111CU.0726.SM.5GZYD,0.0390125739976989,0.0708474138727749,0.106548591772334,0,0.1381100973781,0.0919816474946716,0,0,0,0,0.0537746729454408,0,0.0119225339361896,0.00614976967766923,0,0.265870152166822,0,0.0451408265018517,0.170641720256447,0,0,0,0,0.268814527258812,0.971162679485518
GTEX.111CU.0826.SM.5EGIJ,0.00261508979368862,0.000626108935678458,0,0.0541774873112639,0,0.170430457605609,0,0,0,0,0.0751510547208119,0,0.0561088346391791,0,0,0.406193378978055,0,0.00325345191914147,0.226236578560563,0,0.00266216979668052,0.0025453877393299,0,0.0539041794578168,1.06747870224165
GTEX.111CU.0926.SM.5EGIK,0.187632475991091,0,0.118847753514225,0.0478011775091788,0,0.256957151711723,0,0,0,0,0.0549981697076653,0,0.011437332904902,0.01262174189831,0.0112601889626735,0.0931682546349298,0,0,0.14938738175832,0.0558883714069812,0,0,0,0.270434603194395,0.980779450469061
GTEX.111CU.1026.SM.5EGIL,0.0299558078888509,0,0,0.0103030414537473,0,0.145067424542743,0,0,0,0,0.0420139175508967,0,0.125001833258814,0,0.00116819544278005,0.26003395724344,0,0.0788137493918975,0.0150986845859153,0.0337041842390519,0.0171578393282482,0.241681365073615,0,0.0196837257198932,1.10518019416884
GTEX.111CU.1126.SM.5EGIM,0,0.0231546437677866,0,0.211959444810607,0,0.159875484168905,0,0.022442329158298,0,0,0.00538646518465187,0,0.0688461991918609,0.0619540665331918,0.014583407682545,0.0956134373308091,0.0259082796445625,0,0.287050811076139,0,0,0.023225431450643,0,-0.0284264822383638,1.10174755924133
GTEX.111CU.1226.SM.5EGIN,0.0056582188620317,0,0,0,0,0.224943161543902,0,0.00220850793815027,0,0,0.103804917398488,0,0.158256676995504,0,0,0.33644670555723,0,0,0.168681811704695,0,0,0,0,0.0383398293056035,1.0681364119944
GTEX.111CU.1326.SM.5NQ8L,0.0853635745065407,0,0,0,0,0.178403886950188,0,0.00430063269458896,0,0,0.109205574763054,0,0.183192891546343,0,0,0.229671563990945,0,0.00120028243073166,0.0908208009582853,0.0254753931951069,0.0517978397566012,0.0405675592076146,0,0.0574685648815891,1.05471901090999
GTEX.111CU.1426.SM.5GZYP,0.0241549688920062,0,0.113473653522916,0.0540159308095628,0,0.283656935437455,0,0,0,0,0.0683759349824774,0,0.0156927841272303,0,0.0053268692971879,0.267530493825027,0,0,0.114591033392915,0.0531813957132225,0,0,0,0.168178320687968,1.01523251382237
GTEX.111CU.1526.SM.5N9FS,0.0602701655278704,0,0,0.11257212550993,0,0.248726955709023,0,0.0193081729871698,0,0,0.0702099478831437,0.0208507105455458,0.031535298280919,0.0760252452898148,0.00113070311166853,0.186121147836727,0,0,0.165297016110307,0,0,0.0079525112078807,0,0.010023336590101,1.0808823182511
GTEX.111CU.1726.SM.5EGHM,0.214349883654743,0,0,0,0,0.499691680338256,0,0.00652392803377375,0,0,0.1632786849398,0,0.0656087224941959,0.0196968841157737,0,0,0,0,0.0308502164234581,0,0,0,0,-0.0353055382066437,1.14927919960449
GTEX.111CU.1826.SM.5GZYN,0.00164080955100842,0.000968423798174441,0,0.0295738516524713,0,0.233753907165912,0,0.00264737794484302,0,0,0.110449358262283,0.00411340962030192,0.086715450226519,0,0.00957012246796572,0.371860979539075,0,0,0.142680761279193,0,0,0.00602554849225325,0,0.112272325207748,1.04005196926285
GTEX.111CU.2026.SM.5GZZC,0.0874340429852168,0,0,0.0136887211810803,0.116730935143021,0.0633451939892492,0,0.0162068949718598,0,0,0.0899088737612862,0.0384639572931182,0.0413337046275969,0,0,0.26323178549763,0,0,0.229509226965891,0,0.025772209417663,0.0143744541663875,0,-0.0325033115910263,1.09068467640083
GTEX.111CU.2226.SM.5N9G5,0.00170510053819402,0,0,0.0358009786448432,0,0.20295782227444,0,0,0,0,0.110629567032559,0,0.144624610124296,0,0,0.413098233032925,0,0.0021891150998293,0.0776754560657498,0,0,0.0113191171871643,0,0.0305633689697955,1.07850236894648
GTEX.111FC.0126.SM.5N9DL,0,0.00580334758326495,0,0.0978993181910999,0,0.309460952515488,0,0.0566093257187759,0.000876555999004655,0,0,0.0595771050491856,0.0419943507474334,0.070578510212202,0.0287476459267166,0,0.0550989451212682,0,0.273353942935561,0,0,0,0,-0.0341838259123073,1.1161276590488
GTEX.111FC.0226.SM.5N9B8,0.042251714045912,0,0,0,0,0.237530268745645,0,0,0.00697038890077515,0,0.0142520530756273,0.0137701958418291,0.0619881958663548,0,0.0248149683531404,0.308426028785556,7.04689485006401e-05,0,0.28992571743666,0,0,0,0,0.0736747577965182,1.05699344865949
GTEX.111FC.0326.SM.5GZZ1,0.136936712468042,0,0.0241920779368928,0.0326318039636234,0.076540372578696,0,0,0.0963834746264742,0,0,0.103293686352185,0.0465464937809125,0.0409911777508729,0,0,0.32961472222812,0,0,0.11286947831418,0,0,0,0,-0.0362566610516431,1.09441899063679
GTEX.111FC.0426.SM.5N9CV,0.0209636288411755,0,0,0.0691212181111777,0,0.221753275918893,0,0.00460784488411949,0,0,0,0.0133678900351433,0.067017173708742,0,0.0401477235810893,0.354112873393782,0,0,0.208908371525878,0,0,0,0,-0.0105758567185227,1.08676626515736
GTEX.111FC.0526.SM.5GZZ8,0,0.0104471708869526,0,0,0,0.408736117568734,0,0,0,0,0.12094684504663,0.0297857606594034,0.0877454717537923,0,0.00941750213745677,0.171425836583303,0.00184514038915972,0,0.154319865075301,0,0.00533028989926824,0,0,-0.0147957562822937,1.09965938444343
GTEX.111FC.0626.SM.5N9CU,0,0,0.00589463282093708,0.113747207261898,0,0.133501479282207,0,0.16280251665191,0,0,0.00557092329169706,0.0556452277434148,0.127323006066097,0,0.00573368848161282,0.235984417789025,0,0,0.153796900611202,0,0,0,0,-0.0440954122689252,1.1030377521318
GTEX.111FC.0826.SM.5GZWO,0.0429918392407534,0,0,0.0047081319244288,0,0.0573888782476324,0,0.191956070929609,0,0,0.144095356478653,0.0440097470654347,0.0733516680534272,0,0,0.284567456549219,0,0,0.156930851510843,0,0,0,0,-0.0807138521503226,1.11739054937087
GTEX.111FC.1026.SM.5GZX1,0.0146212264794454,0,0,0.0640666995464192,0,0.423754495074094,0,0.0487051533716713,0,0,0.12027016593036,0.0418392140551004,0.10534334843744,0.033893287860716,0.00486806123390843,0.000425446093556498,0,0,0.142212901917289,0,0,0,0,-0.00726786056254665,1.12590854034188
GTEX.111FC.1126.SM.5GZWU,0,0.0369753334865923,0.00182013717808583,0.062305789630173,0,0.256569283801676,0,0,0,0,0.201722770193505,0.0398173899385182,0.0640054564742325,0.0432769442125369,0.022464573972751,0.0851014055720485,0,0,0.106215973588025,0,0.0277289096889289,0.0519960322629271,0,0.0506057908604427,1.08140140081275
GTEX.111FC.1326.SM.5N9D9,0,0.478795084528575,0,0.166998304677743,0,0,0,0.00162184178077288,0.0411008328922791,0,0.170738496957388,0.00701604068323841,0.0704490147422431,0.001225998712772,0.00213055778040317,0.0303064329093894,0,0,0.000338304928472791,0,0,0.0292790894067226,0,0.452702297105843,0.898702939233897
GTEX.111FC.1926.SM.5GZYC,0.35542105929006,0,0,0,0,0.326907886963772,0,0.0111931461374874,0,0,0.116346404922923,0.0304514656355156,0.0643068435543747,0,0,0.0189158690491601,0,0.00252813152859469,0.0739291929181124,0,0,0,0,-0.0372395316098187,1.14733778727431
