Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells gamma delta,T cells regulatory (Tregs),NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Blood neutrophil,V neutrophil,P-value,Correlation,RMSE
GTEX.1LNCM.1126.SM.E9U5E,0.0568831978415687,0,0.0332683198659215,0,0.161122367482956,0.162726520495232,0,0,0,0,0,0.0261309145137643,0,0,0,0.186515487127977,0.00962683757252823,0,0.198102741929082,0,0.0855673711288281,0,0.0800562420421421,0,0.0506412632941247,1.07909938801031
GTEX.1LNCM.1226.SM.E9U5C,0.0975573767516492,0,0.146316673944134,0,0.212381025585375,0.0670969496223669,0,0,0,0,0.0852918299723456,0,0,0,0.00143720626373358,0.103079100251491,0,0,0.093301536824624,0,0.0452499766841274,0,0.148288324100152,0,-0.0115658892698071,1.09288143644887
GTEX.1LSNL.0006.SM.CXZIV,0,0.0128249996542701,0,0.0718892672422248,0.000902261027489992,0.0646372509336398,0,0.0033581093872152,0,0.0172473018813656,0.264076407108404,0.0050001968972688,0.172648705077827,0.00906415452637971,0,0.002765523254105,0,0,0.00787719804836394,0,0.00242551011244943,0.193047178308731,0.172235936540266,0,0.563104276438647,0.834022158961597
GTEX.1LSNL.0011.R2a.SM.EZ6MK,0.0556643418538191,0,0.129350886763175,0,0.321276292769504,0.0121919871166819,0,0,0,0,0.0651245226282927,0,0.00385669102219585,0,0,0.256208389360509,0,0,0.0214257387486703,0,0.0854812832440387,0,0.0494198664931132,0,0.0261053896529929,1.10243375655415
GTEX.1LSNL.0011.R7a.SM.EYYWI,0,0,0.199810783131692,0,0.493609760868237,0,0,0,0,0,0.0811789025078837,0,0.0307245440978871,0,0,0.0723774447890272,0,0,0.0159413868650665,0,0.0975620801771315,0,0.00879509756307472,0,0.00839639910548949,1.10249847209037
GTEX.1LSNL.0011.R9b.SM.EYYWK,0,0,0.0522554267587707,0,0.260365340184911,0.14552632572524,0,0,0,0,0.0616290277417964,0,0.013889341700997,0,0,0.152207815053279,0,0,0.062199832101575,0,0.142765780528758,0,0.109161110204673,0,-0.00664282275220575,1.10907887947835
GTEX.1LSNL.0126.SM.EWRNR,0.135844822427889,0,0.119265318733017,0,0.151374276906496,0.0422877043439975,0,0,0.00966953167047604,0,0.0358364546712922,0,0,0,0.00144699606898965,0.0812395165388677,0,0,0.0351834004828173,0,0.116762641092994,0,0.271089337063163,0,0.000187842889999416,1.12757803365249
GTEX.1LSNL.0326.SM.EVYCH,0,0,0.0908971906437742,0,0.158276868214244,0.0775334774193574,0,0,0.0293145567630925,0,0,0,0,0,0.000263433396451781,0.108392732975132,0.0950557534036175,0,0.0941771499733056,0,0.18505374280799,0,0.161035094403035,0,0.101476279189245,1.0727586541126
GTEX.1LSNL.0426.SM.DIPFH,0.00239075045741349,0,0.0256324375384296,0,0.0550696871296258,0.214175160916447,0,0,0,0,0.00874334053388617,0.0279777781606988,0.0197863491339498,0,0.000619350639747302,0.116591858666599,0.154264290227658,0,0.0778092063601786,0,0.0759207273129199,0,0.221019062922447,0,0.0801759310645493,1.0838996719905
GTEX.1LSNL.0526.SM.DIPFI,0.000186561359171266,0,0.00407114137365857,0,0.0871265726907891,0.296292843810215,0,0.00244268658787544,0.001482270015162,0.000161710347764585,0.0498509412552245,0,0.0093975347975102,0,0.00635284171095747,0.232742937561741,0.0163947308640219,0,0.160590634277619,0,0.0263833032820281,0,0.106523290066261,0,0.0618735061745238,1.08637682632243
GTEX.1LSNL.0626.SM.DIPFJ,0.000845653310693516,0.00116484104199462,0.0614109828120472,0,0.052978935641114,0.142629867804216,0,0.00190896591938245,0,0.0349729789282149,0.109751621280718,0,0.0200273524528949,0,0,0.0693520304509929,0.00698478744802751,0,0,0.0571719013320902,0.114437400372457,0,0.326362681205157,0,0.0725579623641337,1.12367869748285
