Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GTEX.17HGU.0326.SM.7DUER,0.00322949127336715,0,0,0.0349558468320185,0,0.186377705244842,0,0,0,0,0.0758315442645902,0,0.107364016755146,0,0.0306004274204339,0.32173644896506,0,0,0.239904519244542,0,0,0,0,0.0520662311127347,1.06284554778557
GTEX.17HGU.0426.SM.7DUES,0,0.0237700345591695,0,0.0261647104328378,0,0.266145502551806,0,0.00212582325444225,0,0,0.121283624180874,0,0.212493118178463,0,0.00492129774167641,0.295356649336783,0,0,0.0384606005147034,0,0.00927863924924534,0,0,0.0259649175175537,1.0774558721561
GTEX.17HGU.0526.SM.793BX,0.043092724810571,0,0,0,0,0.393779558030411,0,0.0365645176062831,0.00935336120734983,0,0.0153968818366014,0.04593991219025,0.249390350587266,0,0.0309704717551579,0.042343700187326,0,0,0.123135206569663,0,0.010033315219121,0,0,-0.0061246319124237,1.09404688459622
GTEX.17HGU.0626.SM.7939Y,0,0.033184931365957,0,0.1197565740346,0.0323268497644211,0.106977862892707,0,0.0343512782549667,0,0,0.107451243637312,0.0363771888153314,0.21737395089307,0,0.0668319064956571,0.150426501407463,0,0,0.0949417124385143,0,0,0,0,-0.0323241470539955,1.09843805066708
GTEX.17HGU.0726.SM.7DUFN,0.196906454027469,0,0,0.00904916143521391,0,0.339785344362817,0,0.119521553234717,0,0,0,0.0826389075549434,0.104612226318959,0,0,0.108569944214914,0,0.0239418984306263,0.0149745104203395,0,0,0,0,-0.0344196863188576,1.12151582397875
GTEX.17HGU.0826.SM.7EWE5,0.0963596598843871,0,0,0.281116356431338,0,0.0970434590568647,0,0.0753940350247661,0.0225359743242547,0,0.0597166001533312,0,0.069062455684241,0.0151386876704896,0.0844060975367421,0.168325075141947,0,0,0.0309015990916384,0,0,0,0,0.0140176224335152,1.09492338815995
GTEX.17HGU.0926.SM.79OKO,0.0334338077464909,0.0973973872709657,0,0.0798629548525037,0,0.234634823811847,0,0,0,0,0.0252201633299235,0.00882434129834874,0.261742068306794,0.030975091344966,0.00892721235767618,0.112695429114402,0,0.00923566351736725,0.0955726607097179,0,0.00147839633899707,0,0,0.236574091568106,0.985753430039911
GTEX.17HGU.1026.SM.79OKL,0.0104108114574947,0,0,0.0522010051070647,0,0.136739312948534,0,0.0386563362267857,0.0025188082857869,0,0,0.00914769833106175,0.205686712739505,0.00312352850136691,0.0180012406215876,0.318925826343612,0,0.0009143304632035,0.203674388973997,0,0,0,0,-0.0591786222794551,1.10765183152455
GTEX.17HGU.1126.SM.793BP,0.0956704648331319,0,0,0.0625268302244654,0,0.134458214452006,0,0.023814657977702,0,0,0.00326557571088411,0.0239841623544124,0.195967653206027,0,0.0766753045241296,0.293363268865459,0,0,0.0902738678517823,0,0,0,0,0.0232302172645923,1.06987392153374
GTEX.17HGU.1326.SM.79OKB,0.0385179126695291,0,0,0,0,0.126068235668694,0,0.00766388704708266,0,0,0.064230675019703,0.0344816910780519,0.146418677852713,0,0.0198134383115468,0.381768219506016,0,0.00542843562955603,0.175608827217107,0,0,0,0,0.00985160193072807,1.08028501690481
