Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells gamma delta,T cells regulatory (Tregs),NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Blood neutrophil,V neutrophil,P-value,Correlation,RMSE
GTEX.14E6C.2626.SM.5RQJP,0.200291194654295,0,0.0924477145907468,0,0.105928205934595,0.173765785619068,0,0,0,0,0.0618547540689842,0,0.0141610610680971,0.0110056496361367,0,0.0753195713082948,0.0143419536613899,0,0.0579464324369277,0,0.0254804022412511,0,0.167457274780213,0,0.0242057675308116,1.07485697810396
GTEX.14E6C.2826.SM.664NC,0.136924935578201,0,0.12952905648355,0,0.132966844237863,0.125193227400638,0,0,0.00679465915873243,0,0.0382427472690527,0,0,0.00293849385286309,0,0.0383683517529588,0.00769776360153979,0,0.105106656797629,0,0.0669494474957683,0,0.209287816371204,0,0.0481889736647027,1.0785559646752
GTEX.14E6D.0005.SM.5N9D7,0,0.00453837673346867,0,0.0396239224133726,0.0433995352717033,0.0670636724804622,0,0.00225413906385029,0,0.0064560901154255,0.25733325360722,0.0479544297470493,0.239599240370408,0.00601331793904831,0,0.000547192946718013,0,0,0,0,0.0010852269444368,0.162780565278191,0.121351037088646,0,0.629055118042954,0.778945705517844
GTEX.14E6D.0011.R10a.SM.5YY9C,0,0,0.133016883017272,0,0.590493945075294,0,0,0,0,0,0.0658768964331258,0,0,0,0,0.0881473600694802,0,0,0.00637679936189656,0,0.0883215546483045,0,0.0277665613946263,0,-0.00314472319198083,1.11148097537434
GTEX.14E6D.0011.R11b.SM.664NP,0.0875478763575327,0,0.224885482459257,0,0.441294530004702,0,0,0,0,0,0.0158530363600164,0.0273357417611194,0.00446973651546101,0,0,0.0620001055570172,0,0,0.0247919923449978,0,0.104636527744557,0,0.00718497089533984,0,0.0212037772815369,1.09485436126553
GTEX.14E6D.0011.R1b.SM.5YYAW,0.152481203214368,0,0.0812862788231895,0,0.482943642207614,0,0,0,0,0,0.00687173388873549,0.024462166410749,0,0,0,0.0874279919608733,0,0,0.0332684378097582,0,0.0930315700491337,0,0.0382269756355782,0,-0.000659696014841402,1.09332579307503
GTEX.14E6D.0011.R5b.SM.69LQR,0.0996191875749405,0,0.145323368548251,0,0.457078979461914,0.037146579768729,0,0,0,0,0.0294252602467597,0.00680603396834029,0,0,0,0.110406646627902,0,0,0.0269932063121791,0,0.0766181807178117,0,0.0105825567731729,0,0.0115171888668055,1.09149747985571
GTEX.14E6D.0126.SM.62LDV,0.019365484682856,0,0.0848010043358831,0,0.218958334723094,0.158515972393111,0,0,0,0,0,0.0221717014988903,0,0,0,0.102830995976212,0.0914988006608729,0,0.177470156229386,0,0.072935727865648,0,0.0514518216340465,0,0.0519676998173796,1.06482354444803
GTEX.14E6D.0226.SM.62LDW,0.0131649551249093,0,0.0381755653844588,0,0.099467445782041,0.177734420939791,0,0.000890590605933311,0.0163093754834856,0,0.0324233625612136,0,0,0,0.0342318534062525,0.261487163764605,0.0226608894969618,0,0.115644901621393,0,0.0304910829186154,0,0.157318392910339,0,0.0538943055531498,1.10213665395335
GTEX.14E6D.0326.SM.62LDX,0.0969601417259066,0,0.178353630972168,0,0.180969822830918,0,0,0,0,0,0.0148340942827025,0.0214335838089265,0,0,0,0.124646518707908,0.00571619065132008,0,0.0499127682528251,0,0.0854735029679888,0,0.241699745799337,0,-0.0184752385471116,1.12957547018432
GTEX.14E6D.0926.SM.5S2QV,0.0883023138061519,0,0.108749255620524,0,0.206566713677855,0.0820949587110169,0,0,0,0,0.0552973388452527,0,0,0,0.00236811456010604,0.261457116320357,0,0,0.0613539006036482,0,0.0503608099041018,0,0.083449477950986,0,0.051999143030503,1.08725606199238
GTEX.14E6D.1026.SM.5S2RS,0.0171437015216661,0,0.011767265568786,0,0.0521570302449642,0.284482126477202,0,0,0,0,0.176528854586987,0,0.0866144980773147,0.033616807382942,0.00572458558390332,0.0519916976109642,0,0,0.0328798824054757,0.00162414284116541,0.0414071604597571,0,0.204062247238873,0,0.0600035212022599,1.09624637140021
GTEX.14E6D.1326.SM.62LES,0.000356716492861646,0,0.00328700573907691,0,0.105004443272613,0.253920782562715,0,0,0.0646580635450633,0,0.00170920743835661,0,0.0117769014074489,0,0.00258837971537066,0.269498827786116,0.0436216283946577,0,0.145341787400459,0,0.0257861716100405,0,0.0724500846352204,0,0.102880132566666,1.07802894885918
GTEX.14E6D.2526.SM.5YYA9,0,0,0.119764083510767,0,0.262377371908421,0.101268873318363,0,0,0,0,0.0365582370581421,0,0,0.0758750842123147,0.00746657081826145,0.0987645824403262,0,0,0.0492923069236273,0,0.134099356958924,0,0.114533532850853,0,0.0136632122027949,1.09491933428531
GTEX.14E6D.2926.SM.664OP,0.113975895810277,0,0.163637855916491,0,0.533567359312805,0,0,0,0,0,0,0.0308066853303927,0.00174162613822056,0,0,0.0528799320522295,0,0,0.0302156263721032,0,0.0657042307359379,0,0.00747078833154217,0,0.0264081329561301,1.09197778062502
GTEX.14E6E.0006.SM.5MR5N,0.0172893845540151,0,0,0,0.0433706694732643,0,0,0,0.0336570942123419,0,0,0,0.124575402440973,0.0348792939867391,0,0,0,0,0,0,0,0.735005083201574,0.011223072131092,0,0.614856777694759,0.834016758519095
GTEX.14E6E.0126.SM.73KXH,0,0,0.113602623298582,0,0.204311714385149,0,0,0,0.00219173450312936,0,0.00710461816656972,0,0,0.0641017732913961,0,0.340525277842174,0,0,0.0423826365339484,0,0.104312959723229,0,0.121466662255822,0,0.108431612196112,1.1129401678597
GTEX.14E6E.0226.SM.7DUEF,0.00526801338161994,0,0.0167990354152108,0,0.0215126409149955,0.0728850808186263,0,0,0,0,0.0173127359073144,0.00755414826059271,0.0118565524691275,0,0.00111793467928449,0.324750726745095,0.0457728564395852,0,0.236158039324805,0,0.0473821015356503,0,0.191630134108093,0,0.0591388279370924,1.15492654069515
GTEX.14E6E.0326.SM.73KY6,0.121070634471734,0,0.184864995834527,0,0.189683147410447,0.107076048539239,0,0,0,0,0.019571490468681,0,0,0.000879649248498312,0,0.128580913081534,0.0336209874717531,0,0.137859122990356,0,0.0186259250454329,0,0.0581670854377976,0,0.0837841211833008,1.05210754759499
GTEX.14E6E.0426.SM.73KUE,0.0101001819963554,0,0.00347219500242723,0,0.0459024662697164,0.147068180139667,0.00111837046878338,0,0,0,0.0764097292831102,0,0.0242456216217805,0.231389892378919,0.00344616362651106,0.254403233826677,0.00216734034461358,0,0.0342970169318759,0,0.014362312386555,0,0.151617295723009,0,0.224565302901181,1.05038102216629
GTEX.14E6E.0526.SM.793DN,0.0347241756126981,0,0.0331361726701954,0,0.196427397808303,0.217135975862367,0,0,0.0168495025092654,0,0.0246667058470366,0,0,0.0112054694517417,0,0.0495597224755209,0.0354742351076714,0,0.109983469533792,0,0.130038129281117,0,0.140799043840291,0,0.0527753865397104,1.07548297078682
GTEX.14E6E.0626.SM.73KX6,0.0786421257076284,0,0.118047354677976,0,0.248545928203388,0.0510327332396566,0,0,0.0483273384668289,0,0,0,0,0,0,0.161078899540721,0.0175163152333847,0,0.0943863638309558,0,0.144131503760208,0,0.0382914373392523,0,0.0231416659891603,1.08694625142099
GTEX.14E6E.0726.SM.5S2R3,0.00348457579493739,0,0.0470422084662574,0,0.100901239666827,0.227757812235661,0.0675579941048704,0,0,0,0.172215064063592,0,0.13025009736703,0,0.000436963359255251,0.0153362788552492,0.0262925501589042,0.0215537902205483,0.054844303756442,0,0.0973282022109096,0,0.0349989197395171,0,0.397616171207341,0.919928866644053
GTEX.14E6E.0826.SM.664N7,0.0906896850341692,0,0.020062636069085,0,0.139938865394482,0.0887698743196108,0,0,0.0131209520420975,0,0.0171183111523653,0,0.000521884002078118,0,0.00146075343509227,0.284069244270318,0.021665083922545,0,0.105385582429157,0,0.125122262206766,0,0.0920748657222338,0,0.0689784171381865,1.10019020007997
GTEX.14E6E.0926.SM.664N8,0,0,0.169561624624589,0,0.0620044551370971,0.160367680393805,0,0.0581955193666262,0,0,0.0552809830631118,0,0.000489684596071847,0.00920116219136773,0.000348029512610584,0.103625191930647,0.0156565673632186,0.00220551359162511,0.203905836605027,0,0.0346896295386719,0,0.12446812208553,0,0.124501839966639,1.04161889421603
