Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GTEX.WYJK.0008.SM.4ONDV,0.0227456317031416,0,0,0,0.0386112302154311,0.605467659512475,0,0,0,0,0.105538844334343,0.0467775400166785,0.0748738435496689,0.0420773059024481,0,0,0,0.0129174780845711,0.0509904666812429,0,0,0,0,-0.0140693966039998,1.15301054638994
GTEX.WYJK.0126.SM.3NMAB,0.0106046121411125,0,0.00643798753730476,0.0628915649790911,0,0.255407029502539,0,0.0178342969431284,0,0,0,0,0.0601034426597408,0.135112662383487,0.0100926015863554,0,0.0219561207318544,0,0.4013649517375,0,0,0.0181947297978864,0,0.00915588252272059,1.10640029457985
GTEX.WYJK.0226.SM.EYYV8,0.0151244230098205,0,0,0,0.0512813472192327,0.242079324630516,0,0,0,0,0.112610385990392,0,0.0614932803083512,0.00443746771857919,0.0163916437554852,0.34504510285051,0,0,0.151537024517113,0,0,0,0,0.0390267903865463,1.06656485257251
GTEX.WYJK.0326.SM.3NMA8,0.0830001828843603,0,0,0.0882146334562192,0,0.0642879438623098,0,0.0279498789770687,0,0,0,0.0437949827292286,0.0543690628508806,0,0,0.552035292416074,0,0.00495883196372259,0.0654616561696455,0.0159275346904904,0,0,0,0.0251419098710177,1.09112655362237
GTEX.WYJK.0426.SM.3NM9G,0.100290706974358,0,0,0,0,0.214440676730254,0,0,0,0,0.124545084531578,0,0.20629409887849,0,0.00618834606773063,0.214624683493856,0,0,0.106499009447654,0,0.0265825794323033,0.000534814443777233,0,-0.031474739924691,1.08667366415774
GTEX.WYJK.0526.SM.3NM8Z,0,0.01393974697732,0,0,0.0795587680583243,0.313461760863592,0,0,0,0,0.00495323635080209,0.0439251816216422,0.0121350198797798,0,0,0.132129941298214,0.026806456150924,0.0611140343098254,0.293706096760796,0,0.0182697577287802,0,0,-0.0229874391196915,1.10268170217647
GTEX.WYJK.0626.SM.4ONCZ,0.0122642978922222,0.0301089929093618,0,0.00264280384225145,0.0118811971944872,0.332313674018147,0,0,0,0,0.112791087542309,0,0.025391471258547,0.0835906297493036,0.0272330793224671,0.09852246484341,0,0,0.162547567879773,0.0474604894167589,0,0.0532522441309618,0,0.0624952874485205,1.06105629348721
GTEX.WYJK.0726.SM.4ONC9,0.201788417917398,0.192271607838342,0.0226202673895555,0.0906473518427059,0.0428359885416101,0.0263368892352604,0,0,0.000417247972168399,0,0.186326887038368,0,0.0712950927968723,0,0,0.0705551134067027,0,0.00149113440634172,0,0,0,0.0934140016146758,0,0.491932951592741,0.870814576532944
GTEX.WYJK.0826.SM.3NM8Y,0.0730364313776259,0,0.00357863323566903,0.0368228034343564,0,0.284435850256532,0,0,0,0,0.108472293820918,0,0.0715022465077875,0.0745259234129067,0,0.109435582950815,0,0.0532601089144868,0.139309862760119,0,0.016594219043303,0.0290260442854812,0,0.171921297270568,1.00940805757911
GTEX.WYJK.0926.SM.4ONCF,0.0340458570226325,0,0,0.0523794233250156,0,0.215214849607827,0,0,0,0,0.0695652227970437,0,0.112593027111815,0,0.00494515615232601,0.434562737070989,0,0.00740188875239763,0.0692918381599534,0,0,0,0,-0.0105132302579092,1.09228339184535
GTEX.WYJK.1026.SM.3NM8W,0.0973749375581747,0,0,0.0979741786921595,0,0.2784523944196,0,0.0116417697946248,0.00621181751048612,0,0.0598405165621274,0,0.0859357958182225,0,0.00315701507588184,0.24659180248044,0,0.00688247890947092,0.0785575008452548,0,0,0.0273797923335568,0,-0.0485802989588744,1.10090406005572
GTEX.WYJK.1126.SM.3NM9Z,0.157655086118367,0,0,0.0557518813749692,0,0.236171682555673,0,0.0151390847068578,0,0,0.0521042676614323,0,0.0605906017075748,0,0.00133160963265451,0.250290565170766,0,0.0283421608644295,0,0.036189358545979,0.0595067250512426,0.0469269766100541,0,-0.00617992138950795,1.08186793444931
GTEX.WYJK.1226.SM.4ONCP,0,0,0,0,0,0.388851028616646,0,0.0272088032618212,0,0,0.160611100355718,0.00980915862991548,0.0881528504127482,0,0.0207544186971054,0.120306420831406,0,0,0.180424913306189,0,0,0.00388130588845213,0,0.00954666163663934,1.09476571764338
GTEX.WYJK.1326.SM.3NB2T,0.00974085744444574,0.00120040850179056,0,0,0.112022956713425,0.154628179184578,0,0,0,0,0.0197185048581334,0.0192034195700975,0.0249167532831533,0,0.0202507395100997,0.252625240737143,0,0,0.385692940197134,0,0,0,0,0.0469118673674488,1.08384731851993
GTEX.WYJK.1426.SM.3NM8V,0.0137673474693857,0,0,0,0,0.328705463911002,0,0,0,0,0.0654582381146672,0,0.0857892533525114,0.0653705033522767,0.0113342434838235,0.400933320142894,0,0.00939491240103896,0,0.0156168485423121,0,0.00362986923008813,0,0.0300609245901422,1.08400727290563
GTEX.WYJK.1526.SM.4ONCW,0.0351036628384607,0.0367719910825686,0,0.0488494225523101,0.00696585170346158,0.228450382485184,0,0,0,0,0.0954438186057933,0,0.0816193603181288,0,0,0.227466564980937,0,0.029018617605797,0.0216737046935326,0.034090914251483,0.0458759104297611,0.108669798452582,0,0.0276921642781988,1.07076427841207
GTEX.WYJK.1626.SM.3NM9J,0,0.0240479161392827,0.00107465446124989,0.0875726825154065,0.0616968615405574,0.373521373534159,0,0,0,0,0.0468982067492255,0.0299600680506284,0.0509631375226083,0,0.0299757293744872,0.235561682621691,0,0.00306635814089258,0.0523047110063814,0,0.00335661834342963,0,0,-0.00436388242315073,1.10435811159312
GTEX.WYJK.1726.SM.3NM9U,0.136520444595066,0,0,0.00937241696890501,0.0640799970013084,0.173270927384317,0,0.0149653086456834,0,0,0.0586821993551416,0.0674867291518476,0.123437134203682,0,0,0.210166629925951,0,0.0553736279235085,0.086644584844589,0,0,0,0,-0.0295771301322422,1.08669908821211
GTEX.WYJK.1826.SM.4ONDM,0.337042730709388,0,0,0,0.0856717757486129,0.358850532469782,0,0,0,0,0.13530445880764,0,0.0560268811792484,0,0,0.0223190702835504,0,0.00478455080177903,0,0,0,0,0,-0.0372636527149853,1.16092008342674
