Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GTEX.1IL2U.0011.R11a.SM.CE6SO,0.0354609149331289,0,0,0.0922581536902745,0,0.173254253685109,0,0.248656245472662,0,0,0,0.0557568692141995,0.036970718204923,0.118896307220612,0,0,0,0,0.238746537579091,0,0,0,0,-0.0350519556278265,1.1255335892287
GTEX.1IL2U.0011.R2a.SM.ARU6V,0.00606316370344348,0,0,0.0146215432662902,0.0202217523241231,0.17950626945906,0,0,0.00207856735714426,0,0.155971497750811,0.00869241867963035,0.0784738839266248,0,0.00763354724837632,0.341420794021892,0,0,0.165889342996441,0,0.00519070250100698,0.0142365167651565,0,-0.0493816816284625,1.10413913671768
GTEX.1IL2U.0011.R5a.SM.CE6SN,0.0217135801630338,0,0,0.0570429720074488,0.0669673066637479,0.150013464821198,0,0.0706346697827496,0,0,0.0995892105263096,0.107988538841098,0.14253687905135,0.0262845789277531,0,0.195284777152194,0,0,0.0619440220631172,0,0,0,0,-0.0345225805877101,1.11467761422328
GTEX.1IL2U.0011.R6a.SM.ARZLG,0.0698047749929059,0,0,0,0.0116028375279201,0.282753391498065,0,0.179462521723257,0,0,0,0.0660602329288572,0.0964653669615936,0.0740024103145453,0,0.0326271742373225,0,0,0.186059925758515,0,0.00116136405701985,0,0,-0.0185622284328914,1.10352376479867
GTEX.1IL2U.0126.SM.CNPQ5,0.148092536905658,0,0,0,0,0.185688332883426,0,0.220586661030832,0,0,0,0.135292228304391,0.0265753589992183,0.0472997134340296,0,0.051649802767555,0,0.00914842042421554,0.175666945250674,0,0,0,0,-0.0470370117085958,1.12390046566959
GTEX.1IL2U.0226.SM.CE6T8,0,0,0,0.185500844503872,0,0.199975669468729,0,0.0694690532754888,0.00375124815623515,0,0,0.0266552462228285,0.0633923872059329,0.0653456128716826,0.0115588878814331,0.0131793171011321,0.0165326932708262,0,0.334166075659661,0,0,0.0104729643821784,0,-0.0189530436271988,1.11773164677537
GTEX.1IL2U.0326.SM.CE6T9,0.00301749304764455,0,0.000915087458109615,0,0,0.374880851247708,0,0.012503893857856,0.0173941379142818,0,0.0191586280096738,0.0223865171411899,0.0543061486012334,0,0.00695426903201451,0.243563539010091,0,0,0.244919434680198,0,0,0,0,0.0145042801922314,1.08456209247711
GTEX.1IL2U.0626.SM.CE6TA,0.0248603598243438,0.0349286203014728,0,0,0,0.206645875078071,0,0.00618463518917385,0,0,0.102564251513987,0,0.0718042604731933,0,0.00921631514424496,0.289455678958243,0,0,0.205814192099068,0,0.0485258114182026,0,0,-0.0307071791326251,1.0860672761943
GTEX.1IL2U.0726.SM.EAZ2Y,0.0288718068551513,0.105672242777088,0,0.0999604739316488,0,0.242421286297144,0,0.0074511615708924,0,0,0.0695097914699963,0,0.119773864705691,0,0,0.122768410871462,0,0.00451022981365683,0.19906073170727,0,0,0,0,-0.0363721557808546,1.09500196796368
GTEX.1IL2U.0826.SM.CL53Q,0.0866972488847823,0,0,0.0783059942611285,0,0.428015291831262,0,0.00102999464120159,0,0,0.0913224401394105,0.0551562168238057,0.0448179230633999,0.0788080194882846,0.03159777974529,0.0964294462404926,0,0,0.00781964488094193,0,0,0,0,-0.0132855813974604,1.1223463680062
