SampleID	Airways	Built environment	Gastrointestinal Tract	Loam	Oral	Skin	Urogenital Tract	Unknown
AB001-I	4.6707146193367584e-05	0.000887435777673984	0.02933208780943485	0.0	0.00018682858477347034	0.00014012143858010273	4.6707146193367584e-05	0.9693601120971509
AB002-I	5.5005500550055004e-05	0.0020902090209020904	0.3024752475247525	0.000385038503850385	0.00016501650165016502	5.5005500550055004e-05	0.0022552255225522554	0.6925192519251926
AB008-I	0.0008771929824561403	0.0017543859649122805	0.19586466165413532	0.0	0.10551378446115289	0.0006265664160401002	0.0011278195488721803	0.6942355889724311
AB009-I	0.0	0.0	0.0018518518518518517	0.0	0.0	0.0	0.018518518518518517	0.9796296296296296
AB004-I	0.00025157232704402514	0.002012578616352201	0.09169811320754716	0.00012578616352201257	0.00880503144654088	0.0005031446540880503	0.00025157232704402514	0.8963522012578615
AB014-I	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.909090909090909
AB007-I	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
AB003-I	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.6
AB013-I	0.0001644736842105263	0.0	0.058388157894736836	0.0003289473684210526	0.0	0.0003289473684210526	0.0001644736842105263	0.940625
AB016-I	0.00012763241863433312	0.004403318442884493	0.5372048500319081	0.00012763241863433312	0.00025526483726866624	0.00012763241863433312	0.00012763241863433312	0.45762603701340143
AB005-I	0.00039840637450199205	0.0011952191235059762	0.7149117814456459	0.00011383039271485487	0.014968696642003416	0.0001707455890722823	0.0006829823562891293	0.26755833807626633
AB011-I	0.015384615384615385	0.007692307692307693	0.12307692307692308	0.0	0.0	0.0	0.0	0.8538461538461537
AB006-I	0.0007905138339920949	0.001976284584980237	0.44189723320158103	0.0003952569169960474	0.003952569169960474	0.0	0.0	0.5509881422924902
AB010-I	5.4945054945054945e-05	0.00016483516483516484	0.45710622710622717	0.0	0.0003846153846153846	7.326007326007326e-05	3.663003663003663e-05	0.5421794871794872
AB015-I	0.0	0.0	0.36133333333333334	0.0013333333333333335	0.0	0.0003333333333333334	0.0003333333333333334	0.6366666666666667
AB017-I	0.0004968944099378882	0.0022360248447204968	0.9339130434782608	0.0012422360248447205	0.0014906832298136647	0.00012422360248447205	0.0002484472049689441	0.060248447204968934
AB012-I	0.0001335113484646195	0.000801068090787717	0.01789052069425901	0.0	0.0036048064085447266	0.00013351134846461952	0.000534045393858478	0.9769025367156209
