"file_id.BAM","file_name.BAM","file_id.expression","file_name.expression","cancer","source"
"5efeba5f-8a15-4a80-9363-3b736923cfeb","8855f87b-5a28-4840-8f95-a70c3e25b13d_gdc_realn_rehead.bam","fdced2cf-b3b8-4b74-ae47-fcbc99df6cff","c05b17c4-cc9a-42f3-829f-a13433ec4245.FPKM-UQ.txt.gz","READ","tumor"
"5efeba5f-8a15-4a80-9363-3b736923cfeb","8855f87b-5a28-4840-8f95-a70c3e25b13d_gdc_realn_rehead.bam","e44f7d3d-12fb-4600-b35b-c497b43a2239","c05b17c4-cc9a-42f3-829f-a13433ec4245.FPKM.txt.gz","READ","tumor"
"5efeba5f-8a15-4a80-9363-3b736923cfeb","8855f87b-5a28-4840-8f95-a70c3e25b13d_gdc_realn_rehead.bam","71bf6cf3-4a45-4521-8cb8-61334a76e1c2","c05b17c4-cc9a-42f3-829f-a13433ec4245.htseq.counts.gz","READ","tumor"
"0b401bda-9984-404c-99a6-6acca9eb945c","d63b8da5-11bd-4d27-add6-9246528238e6_gdc_realn_rehead.bam","55fb6a20-c95a-4e72-88ac-ebe1ec55a556","9a682812-c92f-4e5b-866e-df0dcc0ad197.htseq.counts.gz","READ","tumor"
"0b401bda-9984-404c-99a6-6acca9eb945c","d63b8da5-11bd-4d27-add6-9246528238e6_gdc_realn_rehead.bam","ec2ea92b-4dfd-4239-8795-717ceb005f29","9a682812-c92f-4e5b-866e-df0dcc0ad197.FPKM.txt.gz","READ","tumor"
"0b401bda-9984-404c-99a6-6acca9eb945c","d63b8da5-11bd-4d27-add6-9246528238e6_gdc_realn_rehead.bam","3776780e-8542-4700-9618-059387ff8fa9","9a682812-c92f-4e5b-866e-df0dcc0ad197.FPKM-UQ.txt.gz","READ","tumor"
"8b49841c-8199-425f-baa7-0a499615a1e1","910004d6-0dab-4f34-b677-cd132d38e512_gdc_realn_rehead.bam","378e18d4-7db0-4cd3-b871-0f8fc1908a78","9ebbd3cb-b585-4c90-8e34-f42e22b97c08.FPKM-UQ.txt.gz","READ","tumor"
"8b49841c-8199-425f-baa7-0a499615a1e1","910004d6-0dab-4f34-b677-cd132d38e512_gdc_realn_rehead.bam","eadc349d-eeef-4d5f-95de-3d3ea102fc2e","9ebbd3cb-b585-4c90-8e34-f42e22b97c08.FPKM.txt.gz","READ","tumor"
"8b49841c-8199-425f-baa7-0a499615a1e1","910004d6-0dab-4f34-b677-cd132d38e512_gdc_realn_rehead.bam","f1572ceb-0891-46f8-baaa-25cd01f12454","9ebbd3cb-b585-4c90-8e34-f42e22b97c08.htseq.counts.gz","READ","tumor"
"bf710356-75d2-404f-b84f-60adbb2969e3","947f61cc-8d4d-469b-8515-d48126d60e21_gdc_realn_rehead.bam","9728d6cf-525b-458f-bc56-93b748b3b2cd","2011d3ba-8f3a-4307-a377-9d90f3fadee7.htseq.counts.gz","READ","tumor"
"bf710356-75d2-404f-b84f-60adbb2969e3","947f61cc-8d4d-469b-8515-d48126d60e21_gdc_realn_rehead.bam","ea86cba7-1e7e-4c04-a5d4-b8f187bacf8b","2011d3ba-8f3a-4307-a377-9d90f3fadee7.FPKM.txt.gz","READ","tumor"
"bf710356-75d2-404f-b84f-60adbb2969e3","947f61cc-8d4d-469b-8515-d48126d60e21_gdc_realn_rehead.bam","56e0a6ad-c73f-473e-8aa8-c7d71fda7d39","2011d3ba-8f3a-4307-a377-9d90f3fadee7.FPKM-UQ.txt.gz","READ","tumor"
"d309d103-5eb1-44b5-aa03-ec387033d0a4","d722fb7e-a795-4ded-b39c-5c3c65ae74cf_gdc_realn_rehead.bam","020230a7-4baf-4951-812b-bc91346ab5a2","cc81a268-ece2-42e7-97b0-f3ba7ad47508.FPKM.txt.gz","READ","tumor"
"d309d103-5eb1-44b5-aa03-ec387033d0a4","d722fb7e-a795-4ded-b39c-5c3c65ae74cf_gdc_realn_rehead.bam","c53aabb9-183d-4228-8411-3d48687c75f4","cc81a268-ece2-42e7-97b0-f3ba7ad47508.FPKM-UQ.txt.gz","READ","tumor"
"d309d103-5eb1-44b5-aa03-ec387033d0a4","d722fb7e-a795-4ded-b39c-5c3c65ae74cf_gdc_realn_rehead.bam","22b03939-7149-4916-b390-d615f23e44aa","cc81a268-ece2-42e7-97b0-f3ba7ad47508.htseq.counts.gz","READ","tumor"
"0ce8638a-27b3-4d1c-bf15-7278dcff4c2b","dcf31d29-16e5-4bc9-8acd-d52a5bd2f718_gdc_realn_rehead.bam","5b2cc758-8fae-4271-a4cb-964daa2e8bce","1d01ca59-297a-4600-9267-e6333ce3b2b3.htseq.counts.gz","READ","tumor"
"0ce8638a-27b3-4d1c-bf15-7278dcff4c2b","dcf31d29-16e5-4bc9-8acd-d52a5bd2f718_gdc_realn_rehead.bam","325e88dd-083e-48ba-bdc6-9bee8737399b","1d01ca59-297a-4600-9267-e6333ce3b2b3.FPKM.txt.gz","READ","tumor"
"0ce8638a-27b3-4d1c-bf15-7278dcff4c2b","dcf31d29-16e5-4bc9-8acd-d52a5bd2f718_gdc_realn_rehead.bam","1b4defaf-b823-427a-9ac1-6b544d8f1a9d","1d01ca59-297a-4600-9267-e6333ce3b2b3.FPKM-UQ.txt.gz","READ","tumor"
"57eb4718-3ccd-47b5-b4d2-ba37595e946a","e0e3a823-f861-4568-b967-e57bdd6ea05d_gdc_realn_rehead.bam","02221b3c-6f15-483f-958f-47a04c2456b8","e6d40ab0-a9ee-44cd-898c-be0d0caee6af.FPKM.txt.gz","READ","tumor"
"57eb4718-3ccd-47b5-b4d2-ba37595e946a","e0e3a823-f861-4568-b967-e57bdd6ea05d_gdc_realn_rehead.bam","7c6c974b-b9b6-4deb-acac-da9b783770dd","e6d40ab0-a9ee-44cd-898c-be0d0caee6af.FPKM-UQ.txt.gz","READ","tumor"
"57eb4718-3ccd-47b5-b4d2-ba37595e946a","e0e3a823-f861-4568-b967-e57bdd6ea05d_gdc_realn_rehead.bam","c1db441a-0a0d-48e2-ac18-9b7e1e9d8516","e6d40ab0-a9ee-44cd-898c-be0d0caee6af.htseq.counts.gz","READ","tumor"
