id	filename	md5	size	state
750866ac-7c67-4866-b7e0-e72e1a0a1595	c7d153ce-b19a-415c-8f94-1cccd2fc124d_gdc_realn_rehead.bam	91908dfce1f29d8430f8b3adb3dec8f1	7538749141	released
d6c587a2-3c08-4e70-9a21-cb3ed9088e9a	3d0604f5-e69b-47c5-9d93-bec16d33d23e_gdc_realn_rehead.bam	7409c1f0487abe35c817a02b9d72c15b	2347276136	released
db82542f-db4b-4e59-8555-1765713e32cf	6a29d5a3-a6a7-4bf2-b0f8-973fa4bc1ce0_gdc_realn_rehead.bam	9601a54f2868e80d1152ca8fc8050511	2742569575	released
cc60c38f-d789-44a5-ae2f-f90f9a438634	5e95c82e-f545-47b4-949a-3f66f46093ac_gdc_realn_rehead.bam	2d3fb44f1854728299eb0cd5cd42ef78	8376048828	released
5dbe3e1e-179e-41cd-8e85-ab7336cc0b19	04e07cea-9673-4e83-8f13-ff339ea8ea18_gdc_realn_rehead.bam	4798f284579ab7cc44c6144b783a9697	2448335246	released
13b3bddc-29b1-4c3d-95b7-8d8e21b2ad3d	ab816440-a235-40e6-a0f9-da691a78b687_gdc_realn_rehead.bam	d779bcb16eddeea419cf6d1cdba76ff7	5733972343	released
c99ce566-0135-4c12-b548-56f4bfb33e56	b335953b-3e37-4060-8fb2-77363f91681c_gdc_realn_rehead.bam	247a7d28e921c6c05a4fac9d284aa0f7	2556303330	released
73f16b07-863a-474f-8caf-18bab99e9da9	8917e05e-9f69-4f31-b927-ec930e4059ed_gdc_realn_rehead.bam	9305a9a39b7f1e7868742158c50a6bf7	8379803932	released
e6cd2ec4-4abf-4ce1-8396-73681714b7fe	a4848806-a25e-4918-9f1d-5b61b0dbfeb6_gdc_realn_rehead.bam	5c329d49d814db301b54cc8041d4216d	6073757011	released
01004ae4-1aa1-40af-ad79-3a1c1ca8a527	268e2ee4-0169-4454-a576-ff0632601535_gdc_realn_rehead.bam	8699d5918df0e7b3a69170e2c86a9181	6979058692	released
870133a4-4fec-4735-926a-f35c337b6b8a	8e1aff6e-5df1-47d2-ae17-d4cb5b944d14_gdc_realn_rehead.bam	a94f3ccaa03feee94a492d2d5cf2bd83	2619022894	released
d7413273-71d0-4173-a8f1-b9312d4b383a	2e12a83d-7346-4e1c-86aa-ac5c2393b9fa_gdc_realn_rehead.bam	7b596cdec6e906070fc08378b2272718	5733634797	released
ad23ca07-f4e4-4633-baef-b8452aaf4c78	d6c1fe8d-7109-4a8b-977b-054897ae7768_gdc_realn_rehead.bam	144e78a5bb15e6b052d75d58ce8f6e3c	1704978151	released
95e91400-a892-47b5-a0f0-c7bf0159348c	02fb1f7a-1db4-4a74-927f-4354b74fc803_gdc_realn_rehead.bam	f741563cb2778ce6d24a5b888a0eceb4	7427333984	released
61d20592-f798-4714-ae9a-fa40b968bf18	391f9299-0d3f-40b4-a4cf-4947755a9ab3_gdc_realn_rehead.bam	147d384f0890d4100ed7cfae12568bb8	9090073116	released
e9734650-f108-4ba4-8b03-27cdcc48e92a	16a6c406-7942-45a5-b1db-b4d1ba3b6212_gdc_realn_rehead.bam	73a7fcb4990c68fa8f369967aef5b5e6	2558953104	released
17a29d2b-3dc0-4f77-b86a-8a1b4b567ab1	dddb09dd-90c3-40c6-aa96-a9891d31ca23_gdc_realn_rehead.bam	83c154b596ab780665a6bcb62815b12e	8240419892	released
e3241322-978d-4a95-872a-5ce967b2aba6	b6bc54af-770e-460b-bd54-f1691843c429_gdc_realn_rehead.bam	e5f7562c2f31d724039a8ea085d88016	6651119457	released
fae5496f-0833-4974-843f-88f5e86d831b	e64d7ccc-9742-466c-8e87-487ecfdf2ff8_gdc_realn_rehead.bam	4775276b3b958ed7226d9bf392f387bd	2735178277	released
95e43960-65a1-4a90-91d5-d66206c37e89	75c43040-70ed-476b-8a28-0e7c5a79755b_gdc_realn_rehead.bam	a53bba57474c6633e97e07769da67b42	2980486854	released
0bab1db4-90d5-4e73-be7d-2aa356e4e4b1	70ca211c-f793-4079-845b-5306186e3c56_gdc_realn_rehead.bam	846bd4c23aa7a72367fa664ed01d73d2	6314169936	released
0b401bda-9984-404c-99a6-6acca9eb945c	d63b8da5-11bd-4d27-add6-9246528238e6_gdc_realn_rehead.bam	3757e4d73085aa97cca13aa94090e084	2086757257	released
8b49841c-8199-425f-baa7-0a499615a1e1	910004d6-0dab-4f34-b677-cd132d38e512_gdc_realn_rehead.bam	bf5e80c34e89c2d7840dbe5429e9d4b1	9850350762	released
bf710356-75d2-404f-b84f-60adbb2969e3	947f61cc-8d4d-469b-8515-d48126d60e21_gdc_realn_rehead.bam	44e99606cd9a59a3b6dcd6d5c37f19b7	1899922923	released
