Gene	GSM368455	GSM368458	GSM368459	GSM368460	GSM368464	GSM368840	GSM368841	GSM368842	GSM368844	GSM368845
TXNRD3 /// TXNRD3NB	7.0165744	7.332107	5.7396297	6.4319234	6.135881	6.6718383	6.3406568	5.8548923	6.2107153	6.381832
TYK2	184.95593	125.2463	376.03323	316.0667	271.57065	260.22156	418.60718	384.68066	370.1647	320.22943
TYMP	60.584564	82.75627	346.51254	179.98619	75.66732	215.37007	1030.3835	177.79483	453.07983	240.07121
TYMS	20.57474	20.780056	25.284105	32.02801	27.092762	17.118017	12.776081	16.334293	19.34294	17.135498
TYR	35.00991	37.55433	31.048357	33.341984	32.450615	43.39226	28.800041	31.44854	30.768692	33.219986
TYRO3	6.5901504	7.3705664	5.4101677	5.8847136	5.9467497	6.1785216	5.9159255	5.647694	5.444922	5.9589033
TYROBP	4784.035	4401.111	2858.7231	3432.816	6219.7266	2282.0034	4251.9585	3983.9746	6109.894	5187.9917
TYRP1	5.3502536	5.4487133	4.4882855	4.8593698	4.7112794	5.121671	4.7298985	4.3898335	4.541075	4.7859735
TYW1	19.232418	19.802929	31.571348	19.017666	18.822773	11.416428	18.898033	18.904171	18.396223	18.957754
U2AF1	292.36398	386.00363	544.5975	579.5474	453.3532	236.19276	325.98642	564.8786	393.17117	359.22513
U2AF2	178.89551	200.7222	155.66283	208.0523	212.97516	180.81483	198.27837	196.96701	162.45169	208.54515
U2SURP	119.681366	79.63349	191.24828	170.85558	157.16524	56.584717	197.9751	158.67473	157.74966	150.67415
UAP1	36.245502	39.781227	78.32154	35.660793	30.672472	39.871784	62.525223	98.72508	84.12886	76.972275
UAP1L1	6.9681506	8.66341	7.4818654	7.5386662	7.965521	9.318519	8.163847	10.549019	9.76925	8.230788
UBA1	71.12732	109.508064	24.256172	37.032604	32.52222	31.011633	28.829453	26.172218	47.13815	38.00221
UBA2	402.03555	329.79758	715.779	643.8025	352.44763	325.78238	755.9397	871.2666	598.51416	539.5046
UBA3	573.62146	364.74258	814.0087	613.42957	516.6112	300.50644	542.73145	528.1234	643.7877	468.6247
UBA5	30.030994	25.581488	24.750156	25.990683	21.368696	20.236729	24.8134	33.461308	38.147945	22.154192
UBA52	10757.266	11385.908	9360.257	13225.935	14231.3545	19252.322	10152.036	15324.57	14209.263	13340.299
UBA6	11.123081	12.476717	11.843781	9.137404	10.065579	9.9851055	11.519659	9.337564	12.858755	10.451574
UBAC1	159.81998	131.08206	111.66057	94.88727	193.38098	466.45547	123.98279	106.65716	123.40883	124.58253
UBAP1	205.68147	167.14133	102.30522	88.41038	122.03093	133.22797	103.934975	83.8434	116.72958	127.21792
UBAP2	67.73086	56.13752	63.250366	69.09581	73.637634	65.99358	63.721676	67.01187	75.282135	66.64286
UBAP2L	73.33929	32.12179	126.77235	172.09283	78.22897	86.70082	173.45581	168.04091	133.83241	123.38888
UBASH3A	43.762264	27.312395	116.44389	35.604588	23.869295	20.020042	27.312395	55.67062	54.01413	24.176947
UBB	35277.805	32934.973	28012.258	30277.643	31975.72	31832.111	17593.768	28234.088	28428.676	26628.246
UBBP1 /// UBBP1 /// UBBP4 /// UBBP4	3884.3147	3380.1816	2616.517	2722.5356	2029.0038	5540.313	726.0652	2785.7913	2255.1658	3149.9937
UBBP2 /// UBBP2	151.3467	152.72943	146.24501	153.54303	89.096825	189.04253	36.813305	129.3541	129.18613	136.27946
UBC	8218.681	11007.704	13435.302	13951.158	11058.895	13729.928	12698.229	14600.902	13967.373	11984.345
UBE2A	331.68536	136.01738	574.1414	454.77573	328.20242	264.0961	385.4136	382.26993	378.4579	315.98608
UBE2B	2256.419	2092.15	2317.9143	2421.702	3125.0989	4819.9106	2442.1821	2526.3813	2066.9644	2397.55
UBE2C	41.34031	49.179146	36.251396	44.36335	45.991974	50.459736	48.05799	43.541492	44.596573	56.75826
UBE2D1	551.00336	681.5673	943.95776	957.6797	907.78925	745.836	2450.9211	929.31244	1220.5974	1228.7227
UBE2D2	342.61176	224.11224	548.14746	612.9746	560.9091	702.40466	404.05545	442.60748	517.40283	500.2402
UBE2D3	3297.6096	2866.6282	4034.7632	3337.6328	3274.051	5824.344	3316.0203	3281.35	3692.9116	3435.0461
