"Entrez"	"Symbol"	"SRR2016907"	"SRR2016908"	"SRR2016914"	"SRR2016915"	"SRR2016916"	"SRR2016917"
"100033816"	"SNORD115-42"	21	0	0	0	0	0
"100033817"	"SNORD115-43"	1	0	0	0	0	0
"100033818"	"SNORD115-44"	21	0	0	0	0	0
"100033819"	"MIR675"	0	0	0	0	0	0
"100033820"	"SNORD116-28"	0	0	0	0	0	0
"100033821"	"SNORD116-29"	0	0	0	0	0	0
"100033822"	"SNORD115-48"	0	0	0	0	0	0
"100034743"	"PDZK1P1"	0	29	13	12	5	13
"100036563"	"SNORD115-24"	0	0	0	0	0	0
"100036564"	"SNORD115-27"	0	0	0	0	0	0
"100036565"	"SNORD115-28"	0	0	0	0	0	0
"100036566"	"SNORD115-45"	0	0	0	0	0	0
"100036567"	"SNORD115-47"	0	0	0	0	0	0
"100037417"	"DDTL"	181	260	112	204	209	149
"100038246"	"TLX1NB"	0	0	0	0	0	0
"10004"	"NAALADL1"	11	44	21	2	28	24
"100048912"	"CDKN2B-AS1"	1	102	25	16	13	10
"100049076"	"GUSBP9"	2077	641	367	344	827	501
"100049587"	"SIGLEC14"	1113	4218	4782	3724	2109	3398
"100049716"	"LOC100049716"	182	200	240	449	244	306
"10005"	"ACOT8"	246	93	101	72	204	154
"10006"	"ABI1"	1483	4260	3894	4038	3368	4632
"10007"	"GNPDA1"	860	1402	361	639	563	445
"100073347"	"MIMT1"	0	0	0	0	0	0
"10008"	"KCNE3"	790	529	1004	1053	477	917
"10009"	"ZBTB33"	1106	537	236	335	572	553
"100093630"	"SNHG8"	771	168	163	42	477	183
"100093698"	"GS1-600G8.3"	0	0	1	0	0	1
"1001"	"CDH3"	2400	863	15	18	278	9
"10010"	"TANK"	1469	8346	4723	2935	2738	4097
"100101115"	"TTTY21B"	0	0	0	0	0	0
"100101117"	"TTTY2B"	0	0	0	0	0	0
"100101118"	"TTTY8B"	0	0	0	0	0	0
"100101120"	"TTTY7B"	0	0	0	0	0	0
"100101266"	"HAVCR1P1"	0	0	2	0	0	0
"100101267"	"POM121C"	3082	2834	2860	1797	3114	2885
"100101440"	"PMS2P7"	1247	553	181	285	296	219
"100101467"	"ZSCAN30"	778	437	247	248	335	257
"100101938"	"ANKRD26P3"	0	0	3	0	0	0
"10011"	"SRA1"	1003	1981	1795	2226	2129	1784
"100113379"	"SNORD121A"	38	0	0	0	0	4
"100113380"	"SNORD125"	0	13	0	0	12	3
"100113381"	"SNORD19B"	0	0	0	0	0	0
"100113382"	"SNORD105B"	0	0	0	0	0	0
"100113384"	"SNORD123"	43	0	0	0	0	0
"100113386"	"UCKL1-AS1"	95	62	76	141	80	73
"100113389"	"SNORD127"	0	0	0	0	0	0
"100113391"	"SNORD126"	0	0	0	0	0	0
"100113392"	"SNORD11B"	0	0	0	0	0	0
"100113393"	"SNORD12B"	57	28	65	59	94	102
"100113402"	"SNORD111B"	0	0	0	0	0	0
"100113403"	"LIN28B-AS1"	0	7	0	6	0	3
