Gene	GSM737030	GSM737031	GSM737021	GSM737032	GSM737022	GSM737023	GSM737024	GSM737013	GSM737014	GSM737015	GSM737016	GSM737025	GSM737026	GSM737027	GSM737028	GSM737029	GSM737017	GSM737018	GSM737019	GSM737020
ACAA2	7.14641	7.51932	7.88402	7.20316	8.33781	7.39555	7.56169	7.84299	7.68475	7.39475	7.64564	7.39016	7.256	7.58363	7.44681	7.33421	7.58376	7.55188	7.35327	7.09898
ACACA	9.27301	8.52687	8.42664	7.72631	8.64345	8.80798	9.05742	9.18795	8.97364	8.21542	9.28465	8.15373	9.45594	8.7516	8.80266	8.4284	7.95989	8.6964	8.54339	9.46309
ACACB	11.3772	11.2525	10.8184	10.5874	10.867	10.5736	11.2578	11.5447	11.3971	11.8278	11.3961	10.2769	10.5247	11.4504	10.9242	10.6308	10.8959	11.1157	11.0215	11.4035
ACAD10	6.44496	6.59218	6.86771	6.3647	7.26927	6.06768	6.55966	6.59606	6.48844	6.12636	6.91807	6.14137	6.24528	6.64665	6.25458	6.58652	6.25147	6.37515	6.64418	6.27642
ACAD8	7.33935	7.31902	7.44678	7.2331	7.98324	7.09922	7.14163	7.27363	7.1323	7.25771	7.30622	7.11707	7.26647	7.27441	7.14293	7.35124	7.29437	7.69079	7.13048	7.14472
ACAD9	8.22092	8.11731	8.2956	8.04427	8.75878	8.00901	8.30328	8.35656	8.53067	8.16014	8.48368	8.26321	8.26756	8.0772	8.1485	8.26756	8.39462	8.12531	8.21397	8.31882
ACADL	7.47036	6.35873	6.6979	6.38634	7.524	7.4639	7.96271	8.12403	7.83935	7.40116	7.81104	7.33394	7.47394	7.54385	8.02537	7.29598	7.30119	7.44289	7.14213	7.90689
ACADM	9.36358	9.80148	10.3294	9.40689	11.3276	9.59056	9.93066	9.98346	10.0101	9.60737	10.0339	9.58336	9.48998	9.8824	9.7034	9.33063	9.9754	9.91608	9.94105	9.60322
ACADS	7.8582	7.39348	7.34386	7.4218	8.61391	7.11296	7.7395	7.86905	7.47511	7.25487	7.63519	7.38691	7.54977	7.36344	7.22023	7.15316	7.55222	7.76937	7.25847	7.19445
ACADSB	7.10216	7.33652	7.56896	6.82556	8.32379	7.21281	7.60573	7.57075	7.86191	7.44678	7.66779	7.39816	7.14053	7.368	7.51585	7.43574	7.20071	7.63845	7.41112	7.33052
ACADVL	9.48308	9.46309	9.71505	9.53834	10.5404	9.28305	9.39292	9.55576	9.41555	9.29012	9.49586	9.50371	9.58808	9.53564	9.18094	9.43918	9.4867	9.60714	9.45858	9.1707
ACAN	4.9059	4.54995	4.5291	5.019	4.75249	4.37852	4.81825	4.75986	4.98337	4.98159	4.75831	4.69288	4.49744	4.78177	4.75986	4.71438	4.93859	4.75986	4.89765	4.64608
ACAP2	8.39632	9.14828	9.37696	8.86363	8.66386	8.41692	8.95607	8.82698	8.95963	8.82964	9.01412	8.69723	8.48782	8.72661	9.03846	9.05514	8.33072	8.53259	9.23628	8.96399
ACAP3	7.35679	7.31164	7.20924	7.47259	7.4215	7.63617	7.05158	7.05946	7.21826	6.70079	7.54866	7.01387	7.45392	7.40441	7.1838	7.41966	7.30732	7.42195	7.31477	7.51561
ACAT1	8.53184	8.42539	8.79176	7.92633	9.29068	8.52926	8.76683	9.36254	8.98064	8.98897	8.68765	8.65237	8.2406	8.42497	8.62011	8.57291	8.62095	8.89927	8.56983	8.48275
ACAT2	6.81209	6.47146	6.83655	5.93009	6.21917	6.838	6.37381	6.57437	6.66201	6.25715	6.86618	6.42492	7.22875	6.21933	6.46289	6.25091	6.2831	6.18215	6.27434	6.88065
ACBD3	8.72528	8.9529	8.90881	8.90425	8.58143	9.13443	9.2236	8.93536	9.15506	9.06169	9.03649	9.04264	9.09505	8.74393	9.06304	9.1353	8.74422	8.80266	9.04002	9.2995
ACBD4	7.35828	6.92516	6.71044	7.30591	7.37373	7.03047	7.15367	7.09109	7.11087	6.82875	7.20224	7.49988	7.43227	7.13342	6.97057	7.15377	7.11237	7.06459	6.96037	6.98329
ACBD5	7.28148	7.30499	7.68304	7.45429	7.4197	7.3427	7.71278	7.809	8.03404	7.19302	7.6551	7.65026	7.38001	7.2316	7.44803	7.58136	7.11937	7.52401	7.49139	7.3862
