Gene	GSM737030	GSM737031	GSM737021	GSM737032	GSM737022	GSM737023	GSM737024	GSM737013	GSM737014	GSM737015	GSM737016	GSM737025	GSM737026	GSM737027	GSM737028	GSM737029	GSM737017	GSM737018	GSM737019	GSM737020
ABCB1	5.39238	5.61211	6.34271	5.94925	5.85012	5.66554	4.83098	5.13114	5.27249	5.29798	5.22965	5.12232	5.87097	5.1251	5.41565	5.39843	5.29919	5.24932	5.20712	6.16818
ABCB10	7.07323	7.35295	7.24416	7.37188	7.41698	7.22935	7.42403	7.30998	7.61438	7.34409	7.53394	7.33099	7.35346	7.43163	7.44998	7.22259	7.25187	7.26814	7.26447	7.33747
ABCB11	3.71465	3.63329	3.99159	3.64698	4.0923	3.85831	4.10765	4.62098	4.16707	5.55333	4.02418	3.92659	3.77806	4.00254	4.1829	3.43614	4.30856	3.86206	4.30822	3.63146
ABCB4	5.08416	4.46219	4.42537	4.63706	5.34444	5.07446	5.89736	5.45816	5.53713	5.2211	5.83186	5.21133	5.33075	5.48213	4.95058	5.7382	5.80676	5.04801	5.09382	5.1378
ABCB5	3.5096	3.72814	3.59711	3.83377	3.63436	4.0555	4.22096	3.74571	3.99037	3.86689	4.19846	4.26943	3.93941	4.47154	3.92487	4.78197	4.30786	3.56085	4.05163	4.17118
ABCB6	6.41635	6.40191	6.36133	6.36604	6.3084	6.38823	6.40831	6.35282	6.6138	6.18995	6.74678	6.34667	6.54362	6.60158	6.20884	6.47017	6.03441	6.32595	6.40191	6.48029
ABCB7	7.14294	7.66575	7.81035	7.54139	7.70536	7.18025	7.36662	7.37852	7.45572	7.49219	7.53139	7.07372	6.97239	7.40732	7.23028	7.37403	7.25627	7.39385	7.52257	7.15434
ABCB8	7.08945	6.65835	6.7731	6.88799	7.0722	6.5029	6.74883	6.69486	6.72646	6.4841	6.76536	6.61622	7.04507	6.71137	6.64013	6.73083	6.54315	6.94441	6.72262	6.55588
ABCB9	5.14427	5.0142	5.01083	4.99977	5.04404	5.07047	5.31011	4.99802	5.12911	4.90736	5.256	5.12911	5.34169	5.42001	4.90574	5.12086	5.53527	5.19886	5.05065	5.24217
ABCC1	7.70931	8.03919	7.92781	7.82756	7.76114	7.98244	7.79977	7.17512	7.8528	7.4267	7.92277	8.02025	8.086	7.39887	7.83802	8.40225	7.63804	7.63352	7.89834	7.26047
ABCC10	6.62574	6.64139	6.51503	6.88526	6.83449	6.72774	6.75295	6.48124	6.71226	6.47906	6.6918	6.76706	6.65241	6.83762	6.61644	6.8904	6.8621	6.82308	6.57219	6.78179
ABCC11	5.33423	4.84261	5.06363	4.99588	5.52951	4.90189	5.09129	5.1882	5.11215	5.19123	5.19249	5.31961	5.1874	5.34159	5.33152	5.06422	5.3674	5.19301	5.1188	5.19468
ABCC12	4.49782	4.19418	4.12456	4.16939	4.26693	4.24997	4.38712	4.2572	4.35315	4.3223	4.16713	4.24479	4.30678	4.53707	4.24741	4.04772	4.30535	4.21032	4.26299	4.20553
ABCC13///ABCC13	3.93082	3.67446	3.3838	3.55498	3.61032	3.48538	3.67446	3.60912	3.55737	3.77974	3.67446	4.4832	3.67446	3.66444	3.79416	3.48903	3.92283	3.72094	3.67446	3.67446
ABCC2	4.80818	5.11629	5.11629	4.8707	4.93697	5.02773	5.25368	5.14027	5.20986	5.14853	5.17473	4.87327	5.09673	5.26911	5.11629	5.18669	5.04883	4.89955	5.13788	5.23834
ABCC3	5.46835	5.40304	6.33323	6.35755	5.98527	5.60282	5.69173	5.45147	5.15236	5.45705	5.33136	6.56408	6.55062	5.36	5.58483	5.57047	5.56712	5.74621	5.51626	5.44659
ABCC4	5.1655	6.32419	6.30094	6.24344	5.83765	4.98484	5.41169	5.59275	5.62283	6.05192	5.73497	5.47215	5.34025	5.65838	5.89204	6.10929	6.09461	5.60292	5.84431	5.95202
ABCC5	6.6535	6.98722	7.53415	7.31478	6.93106	6.82149	6.99306	6.723	7.01022	6.40103	7.24242	6.79246	6.91291	7.1343	6.90788	7.29009	6.98535	6.84135	7.08336	6.95438
ABCC6	7.59252	6.56082	6.40268	6.5958	7.37529	7.00282	6.96012	6.95281	6.94885	6.32138	7.12578	7.11538	7.05722	7.0598	6.77657	6.70649	6.83647	7.07418	7.02645	6.58282
ABCC6P2///ABCC6P1///ABCC6	7.31994	6.64183	6.77532	7.02894	7.3455	7.01253	6.95932	7.01351	6.80548	6.8027	6.71255	7.20228	7.12289	6.9243	6.87284	6.71751	7.04271	7.21226	6.99615	6.67133
ABCC8	6.07662	5.49455	5.72532	5.77242	5.90761	5.58394	5.66857	5.77497	5.50827	5.74353	5.89496	5.55488	5.93185	5.69361	5.99451	5.48693	5.94632	5.98784	5.96213	5.6919
ABCC9	7.98723	8.5934	8.44325	8.21105	8.58445	9.07208	9.4061	8.96306	9.79595	9.43135	9.32531	8.99231	8.84242	9.02365	9.1219	9.87949	9.1678	9.21079	9.60125	9.06567
ABCD1	7.44842	6.4729	6.62177	6.79971	6.50691	6.98486	7.34262	6.96548	7.03119	7.32367	7.2624	6.75985	7.00125	6.63712	6.6818	6.75877	7.18595	6.91889	6.67485	6.76622
ABCD2	9.28569	7.9517	7.34192	7.74822	8.33962	8.9222	8.83091	8.71071	9.12426	6.77904	9.29436	8.86866	8.58485	9.12755	8.56729	8.84717	7.27049	8.76756	8.25286	9.70562
ABCD3	8.13353	8.54702	8.68201	8.33571	8.60385	8.37294	8.94781	8.68172	9.05736	8.66817	8.88112	8.62102	8.25646	9.08726	8.80743	8.85522	8.23356	8.47606	8.74555	8.92505
ABCD4///ABCD4	7.43857	7.39912	7.28744	7.50513	7.38244	7.51796	7.37576	7.32653	7.41901	7.3197	7.45848	7.48196	7.55709	7.61657	7.24106	7.64702	7.46584	7.44051	7.38431	7.476
ABCE1	6.66971	7.50907	7.57617	7.05254	6.75393	6.79754	6.95524	7.3947	7.3237	7.48411	6.84764	7.10032	6.58265	6.89642	7.32412	7.39439	6.89045	6.79496	7.16187	7.77656
ABCF1	8.15771	7.78785	7.70207	7.8468	7.83014	7.66018	8.10665	7.87388	7.99084	7.9594	7.99027	7.95127	7.93389	7.86771	7.68697	8.0588	7.81868	7.95451	7.76456	8.05636
ABCF2	6.83013	6.54553	6.37219	6.3031	6.45201	6.30064	6.55724	6.36487	6.61468	6.80051	6.26294	6.83091	6.68718	6.21387	6.27146	6.64676	6.29508	6.44793	6.21607	6.5767
ABCF3	7.39338	7.42762	7.18933	7.24057	7.56013	7.36023	7.35879	7.00486	7.50744	7.20901	7.53074	7.14167	7.37783	7.52265	7.07881	7.24092	6.98549	7.28867	7.03933	7.25211
ABCG1	6.03434	6.02419	6.44279	6.07678	6.53534	6.13709	6.71624	5.87764	6.5157	6.71134	6.17384	6.3273	6.60328	6.3354	6.06061	6.57755	6.65682	6.27302	6.08624	6.3354
ABCG2	4.74187	4.97115	5.17403	4.5481	4.92218	5.24186	4.96594	4.91363	5.0491	4.55734	4.91641	5.0813	4.73155	4.56589	4.97889	5.04346	4.65562	4.9661	5.05559	4.92218
ABCG4	5.9635	5.79483	5.70738	5.64903	5.63616	5.62612	5.79579	5.79483	5.52693	5.8846	5.54512	5.79483	5.83885	5.79483	5.83184	5.79483	6.24589	5.77268	5.9445	5.75375
ABCG5	4.44601	4.52247	4.41123	4.20738	4.43674	4.4646	4.5384	4.5842	4.56244	4.61518	4.31784	4.42334	4.46025	4.51846	4.72996	4.1895	4.83254	4.42605	4.6807	4.4819
ABCG8	4.88217	5.27341	5.03654	5.03193	5.15364	5.08564	5.56109	5.28789	5.25369	5.26951	5.25217	5.06292	5.28994	5.46729	5.29956	5.18102	5.39935	5.14029	5.4584	5.28798
ABHD1	5.48841	5.3703	5.48362	5.30273	6.22909	5.32295	5.73768	5.53052	5.49842	5.39407	5.70424	5.4056	5.52198	5.5895	5.39792	5.21615	5.6669	5.54809	5.49243	5.4862
ABHD10	6.81799	6.73173	7.33679	7.03669	7.37694	7.45302	6.79244	6.61346	7.00474	6.28299	7.05614	7.43411	7.0749	6.8041	6.81838	7.39623	6.88903	7.30491	6.72805	7.19019
ABHD11	6.38236	6.22316	6.34635	6.25673	6.48992	6.27392	6.44004	6.39417	6.35221	6.33728	6.37458	6.56498	6.45624	6.09445	6.28915	6.43025	6.35247	6.3218	6.32592	6.36954
ABHD12	7.64692	7.58734	7.62179	7.62573	7.69705	7.7007	7.7463	7.66625	7.74681	7.6673	7.77853	7.66457	7.89674	7.5831	7.56538	7.80453	7.58189	7.807	7.66466	7.68927
ABHD12B	4.11453	4.82619	5.16307	4.46266	5.02151	4.22584	3.87344	4.03354	3.83751	4.24658	4.03573	4.72073	4.14312	4.37761	4.19498	4.055	4.29373	3.80409	4.1184	4.00742
ABHD13	7.24953	7.65602	7.62297	7.70926	7.57088	7.45484	7.51721	7.52141	7.57088	7.58143	7.49452	7.6889	7.49093	7.53777	7.69973	7.6719	7.40812	7.64313	7.58634	7.77504
ABHD14A	7.34756	7.15647	7.01599	7.09314	7.07102	7.30225	7.15862	6.99668	7.13067	6.75777	7.40407	6.92617	7.44859	7.0351	6.76878	6.98336	6.97991	7.14464	6.99784	6.99655
ABHD14B	7.8725	7.36021	7.32764	7.56895	7.7927	7.58352	7.67046	7.51903	7.57731	7.37416	7.5602	7.51903	7.56582	7.57835	7.161	7.23283	7.86157	7.64123	7.29367	7.37
ABHD15	8.1347	7.55111	7.19537	7.51718	7.59055	7.50351	7.99151	7.95123	7.66077	7.55359	7.79823	7.63576	7.60632	8.26671	7.31296	7.45317	7.71043	7.91446	7.54279	7.56576
ABHD16A	6.50387	6.40913	6.45399	6.60876	6.71211	6.48437	6.25349	6.31625	6.28228	6.37809	6.32401	6.60948	6.46669	6.01626	6.15119	6.26311	6.66623	6.53409	6.26311	6.05185
ABHD16B	5.94076	5.47965	5.49459	5.73887	5.89478	5.96203	5.89718	5.84401	5.45325	6.20778	5.94982	5.26329	5.86553	5.69453	5.87398	5.50981	5.68292	6.02993	5.79945	5.53168
ABHD17A	7.76372	7.7562	7.70362	8.20057	7.93115	7.81897	7.79842	7.58672	7.37437	7.74244	7.53698	7.60423	7.85879	7.65508	7.75186	7.41175	8.69977	8.07428	7.68919	7.24898
ABHD17B	5.51111	5.96032	6.06768	5.87696	6.29056	5.97337	5.92336	5.911	5.99384	6.18953	6.15228	5.82697	5.95864	6.19418	5.93893	6.0978	5.99336	5.65524	5.9376	6.05364
ABHD17C	6.26372	6.28886	6.28886	6.33943	6.32129	6.2828	6.34727	6.37325	6.17975	6.33908	6.22771	6.10255	6.46074	6.3235	6.28886	5.89456	6.22723	6.39221	6.19453	6.15334
ABHD18	5.96483	6.60051	6.91851	6.64103	6.60658	6.60658	6.40887	6.52706	6.75838	6.60658	6.78256	6.17928	6.67514	6.4975	6.85323	6.74641	6.70291	6.61502	6.57781	6.64403
