Gene	X237L.Vneut	X237L.Bldneut	X244L.Vneut	X244L.Bldneut	X253L.Vneut	X253L.Bldneut	X270L.Vneut	X270L.Bldneut	X131_V.Neut	X131_Bld.Neut	X132_V.Neut	X132_Bld.Neut	X135_V.Neut	X135_Bld.Neut	X136_V.Neut	X136.Bld.Neut	X138L_V.Neut	X138L_Bld.Neut	X139L_V.Neut	X139L_Bld.Neut	X141_V.Neut	X141_Bld.Neut	X143_V.Neut	X143_Bld.Neut	X146_V.Neut	X146_Bld.Neut	X149_V.Neut	X149_Bld.Neut	X154_V.Neut	X154_Bld.Neut	GSM1571528	GSM1571529	GSM1571530	GSM1571531	GSM1571532	GSM1571533	GSM1571534	GSM1571535	GSM1571536	GSM1571537	GSM1571538	GSM1571539	GSM1571540	GSM1571541	GSM1571542	GSM214983	GSM214985	GSM214987	GSM214989	GSM214991	GSM214993	GSM214995	GSM214997	GSM214999	GSM215001	GSM215003	GSM215005	GSM78545	GSM78554	GSM78546	GSM78563	GSM43011	GSM78529	GSM78537	GSM78557	GSM78565	GSM43004	GSM78528	GSM78552	GSM43001	GSM43012	GSM78530	GSM78549	GSM484551	GSM484555	GSM484559	GSM484563	GSM484571	GSM484579	GSM484583
SLC25A24	41	92	33	50	0	182	1	56	10	14	3	112	13	75	1	8	9	31	0	41	0	42	0	36	4	19	12	55	6	53	28.5287933487676	24.9357755647742	220.955984777546	198.714842248568	70.7384426762939	119.471371043625	77.4125525942219	217.293634659852	30.4023186140892	28.8030226906739	123.45969062208	222.997284820236	275.430708478904	155.999930594834	126.486983874525	111.611	98.589	80.7518	67.3812	72.4074	46.9779	77.8072	113.132	44.6393	103.081	138.228	111.127	11.79	13.47	12.65	16.55	20.8	41.91	14.56	14.15	16.2	20.85	69.08	13.41	226.56	21.05	12.48	14.29	10	10	20.13822	11.97336	10	10	10
SLC25A28	112	62	81	111	23	135	3	43	0	60	50	92	128	103	253	229	0	78	60	86	114	165	220	281	0	70	24	63	13	273	69.8664865186158	109.483990632049	344.235092522558	229.92523392777	200.600730583728	100.798949618452	99.5062677779741	80.2429078887904	83.397074332188	50.6917210140454	79.3158731410278	122.408371500622	85.1741536114711	143.21243602655	106.242911648	464.471	433.157	297.56	397.191	462.692	342.61	327.936	358.082	300.731	364.112	394.426	480.5	17.91	9.95	10.38	9.96	21.23	24.77	9.37	8.69	9.22	8.79	22.79	8.81	8.69	19.34	7.02	7.7	1039.085	647.1045	1099.609	2942.136	1292.575	1414.871	1243.271
SLC25A3	1801	826	2588	1227	1013	1472	6	730	636	378	668	1020	1200	925	1814	909	822	784	1712	477	1007	745	1938	1300	496	605	906	557	381	1639	730.850810579119	645.765423972611	1545.32250380546	1029.48481150441	757.448668107938	1048.25142786495	907.702721683446	541.843094503552	1076.71419221564	1197.92343814307	886.79829242482	970.844427523693	687.931295375125	665.691837373128	957.681015021745	4232.99	3674.5	2991.9	3630.81	2564.95	3362.81	3051.95	3612.55	4229.59	5832.39	5854.13	4688.98	1103.1	624.9	863.79	711.67	1181.81	1364.69	331.93	576.05	305.18	1055.74	914.57	685.68	2562.9	1247.07	789.1	1328.44	1808.659	1240.11	1466.378	1144.248	1354.977	1080.733	1428.947
SLC25A37	956	2251	5090	4759	3452	6763	51	5989	1029	810	1497	1379	1367	953	1710	1382	2331	1485	567	811	1866	1367	1796	2441	1525	1056	1613	527	1174	2017	4980.53908416651	7745.45877944127	6172.42801107477	5916.01497931903	6067.27711180596	5912.70973850748	5981.2099746639	6694.3948894683	6129.19372781716	6273.36378531316	6816.66495625592	8745.91680743747	6079.98007326272	5880.95897053143	5818.43566772787	9175.42	10330.6	12160.7	10042.3	14671.1	10832.8	17237.5	11979.9	8349.6	6999.39	6773.34	12238.7	1047.4	960.77	611.8	439.39	1361.36	497.34	582.92	576.18	745.42	1819.65	678.71	714.14	285.7	2555.79	228.98	363.94	7191.359	5038.013	6100.993	5590.644	7340.872	6707.846	5635.365
SLC25A40	0	67	105	80	0	72	0	37	0	47	27	224	103	137	1	128	87	103	339	82	1	169	0	170	0	60	47	97	15	168	45.7397841674293	44.7797032023983	198.857261701694	164.744847670415	35.9429212225614	74.7959004858442	66.5951621293918	91.7236020778621	56.9813282283436	42.9800875973347	45.7397841674293	79.0722756508651	67.6705561845774	45.7397841674293	50.1607257917825	274.391	266.386	362.865	186.753	259.848	319.273	273.575	207.565	226.662	312.172	385.358	260.747	6.45	6.88	6.6	7.08	6.71	6.79	7.78	6.85	15.69	7.07	6.89	7.99	9.3	6.53	6.53	7.07	41.21068	35.97284	58.35875	10	25.01135	27.26287	31.07232
SLC25A44	88	403	805	810	350	923	3	835	174	251	224	605	570	405	261	507	210	680	62	240	2	624	243	1234	0	480	250	139	109	810	5030.6622936699	4479.44882170457	2743.15713414943	3795.71419278707	2768.95981277009	3969.79658698918	3507.25871396548	4517.81139974912	4745.06590540753	3791.44881195195	3949.78070339326	4989.15062373965	4709.09345892284	4194.74765734455	4994.04487633461	713.704	911.252	1185.21	1343.91	1386.16	1281.7	1152.33	1073.88	1002.01	522.761	747.805	768.428	269.62	296	187.13	290.39	791.29	335.47	459.26	400.21	431.83	739.24	407.36	495.4	167.01	569.12	442.94	251.36	864.9525	1367.133	705.2328	618.9669	921.18	1049.689	971.4959
SLC25A46	501	96	48	140	5	205	5	56	103	49	0	103	28	83	28	34	38	80	0	46	148	55	0	103	37	50	11	64	0	133	24.6870576044886	25.7558229379692	69.8382502228135	50.9318501357461	16.2757879804348	29.4503181627733	28.0302299954368	21.3101122004384	26.4635262020089	14.6305272230524	39.1827738438884	67.4147425667395	31.5306835879269	26.6285598610747	52.3905631640781	311.115	260.161	217.095	173.247	136.733	134.617	207.588	233.424	215.207	411.654	373.77	257.481	18.19	6.35	12.78	7.13	23.56	46.37	6.07	5.78	6.32	6.32	22.79	13.79	135.94	6.53	6.21	16.27	61.61052	71.85787	29.49205	62.69131	128.3192	97.24464	79.65128
SLC25A5	829	1433	343	770	158	1294	93	2419	89	579	73	608	222	605	44	348	468	941	645	783	56	278	103	323	258	318	101	479	46	474	447.307093533364	317.871493689796	851.628421141503	591.310488407692	283.877830960862	307.20122100604	549.368328452523	487.761210739872	317.356343258737	317.356343258737	347.661527524777	388.961914412181	166.255610531333	280.273997711763	463.781274470266	2670.72	2083.14	1415.91	1278.55	803.052	1285.74	1051.75	1607.95	1606.99	3416.02	3048.89	2998.77	471.75	341.99	381.56	227.38	437.5	636.26	101.08	166.3	58.42	281.34	453.48	268.02	1098.07	543.93	217.06	498.61	969.6423	877.8659	844.2246	992.1654	1273.055	998.549	830.8748
SLC27A3	53	136	35	119	0	142	0	72	99	42	33	149	64	126	64	56	100	57	0	44	1	162	151	160	0	74	38	59	11	165	132.174494781104	69.9055730795911	83.7676146447706	55.2224131059954	104.087401970044	52.8843195590864	51.4409867197951	91.6368523499386	24.368630250452	36.0886962281688	64.1899797165727	38.1194843067031	80.0612248803704	110.140629957423	77.7486140597795	177.176	333.697	166.571	344.888	385.211	301.935	194.725	229.532	304.053	171.848	317.602	234.485	20.12	21.85	14.51	13.59	29.27	62.86	12.95	23.69	13.59	22.21	162.08	33.67	369.74	103.63	59.74	25.19	98.37759	395.882	286.1578	239.5179	248.5909	299.6685	347.2573
SLC2A1	24	213	173	564	145	468	0	538	0	450	113	845	303	929	18	263	17	533	0	386	908	453	103	704	0	338	100	378	16	529	107.91372415148	48.0045466157677	33.8094634501419	47.9452552014996	16.5204608934013	33.8094634501419	35.2638699160599	14.6549401496277	95.7661391481651	51.2081395793458	40.7652248939767	115.189183587899	144.764600701814	123.694049190746	63.9468131184422	10.329	6.78828	6.16532	7.00893	7.17829	6.98919	6.91683	6.94045	6.85113	7.08326	8.42216	6.82359	6.96	9.84	6.77	7.27	5.92	5.53	7.28	7.14	7.41	9.83	6.17	8.24	5.8	7.75	6.74	7.27	70.47042	45.12257	38.64653	16.50458	58.03992	79.62286	16.88357
