Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells gamma delta,T cells regulatory (Tregs),NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Blood neutrophil,V neutrophil,P-value,Pearson Correlation,RMSE
GSM694071,0,0.05886231854405105,0,0,0.11666044435512685,0.18947164099096256,0,0,0.08309100637869331,0,0.03263197128624115,0.06924991203794022,0.16534532587456463,0,0.0028334982051799328,0.003532643283546466,0.013699639688737731,0,0,0.028013399149515335,0,0.2176379306470021,0.018970269558438665,0,0.40105116634164006,0.926746503011215
GSM694072,0,0.06630028085676738,0.0004,0,0.19472503978681388,0.09514765317510143,0,0,0.1284993962452474,0,0.033375051826476265,0.03701927524214099,0.1529844070193432,0,0,0.008574649400361053,0.02475785124225038,0,0,0.023607193368890812,0,0.2136036029389701,0.020979102479765803,0,0.40281477685193307,0.9251662865058279
GSM694073,0,0.045119452623157405,0.0039129520620611955,0,0.16450097421452384,0.19103471507423783,0,0,0.15039357912891957,0,0.035262691984223216,0.0188893830381597,0.15094006812599342,0,0,0.007691967590882677,0.030456469707460878,0.0035571016775416153,0,0.02039006221725068,0,0.15975465642071054,0.01809592613487744,0,0.40758520212829247,0.92017967712321
GSM694074,0,0.07390106957454957,0,0,0.13629040446081095,0.20039934631865083,0.005906651498326147,0,0.1512060362711755,0,0.022908341044059713,0.014101266523220921,0.1482648791080246,0,0,0.003532219637636573,0.0252934376660951,0,0,0.032987460723590024,0,0.1782867405656703,0.0069221466081897465,0,0.4102833753166953,0.917780938077911
GSM694075,0,0.050743590656895245,0,0,0.133650379431161,0.14023369144137934,0,0,0.1681644794735182,0,0.03298972141189346,0.03551744734322249,0.1758296287000563,0,0,0,0.0035785310552054806,0.005566253546362105,0,0.016516857925803027,0,0.2320240371363972,0.00518538187810608,0,0.43829316425205866,0.908280385050468
GSM694076,0,0.07367978369826514,0,0,0.11064590117689034,0.11895371567426428,0.002244333012014093,0,0.14246753975805992,0,0.017054770041249494,0.04490726469989913,0.199709633715223,0,0,0.012971426845523139,0.013915300525412672,0.005402397469137007,0,0.022287320491736203,0,0.2256142866396643,0.010146326252661356,0,0.45003910986703966,0.9006767932814845
GSM694077,0,0.10924605390593103,0,0,0.16143234828232053,0.19564522479686888,0.003895190194065475,0,0.10400919995168831,0,0.006871070381675336,0.05344301961007454,0.1559589475710275,0,0,0.006923186888299382,0.020989214566089074,0,0,0.006496141398258427,0,0.1692260976744869,0.005864304779214592,0,0.3800689230804869,0.9330364924130997
GSM694078,0,0.07394570103294361,0,0,0.12585416929435914,0.23718518776265227,0,0,0.12770149811166895,0,0.02897530752616469,0.044702110310396,0.11434291610198778,0,0,0.009221206379345228,0.014697551394925122,0.004858332735881148,0,0.024682409355070822,0,0.16790851593627024,0.0259250940583351,0,0.38727877275702605,0.9291220139367296
GSM694079,0,0.05486841702194549,0,0,0.16105746158023687,0.1548459850059248,0,0,0.09954280917335757,0,0.029647196217464224,0.04082305203490694,0.1849090482117838,0,0,0.009666950202562405,0.026716332045050323,0.0068109526670150616,0,0.023792006811008147,0,0.2043213750369581,0.0029984139917861932,0,0.3598531414224185,0.9501306523873081
GSM694080,0.0014613662180593357,0.040380619351193234,0,0,0.15922820346360306,0.17826917661062364,0.006664543546434771,0,0.11939016040287898,0,0.04372279284767572,0.029043479370544915,0.14730121275962837,0,0,0.00715017558214923,0.031219423152213214,0.006752469411874659,0,0.025986792615354838,0,0.18440901311133906,0.01902057155642701,0,0.38112655186785455,0.9353238043292815
GSM694081,0,0.07757217597514382,0,0,0.1725450116687845,0.1480114901963277,0,0,0.1750144120451542,0,0.012772139097969848,0.0006,0.15208965555492696,0,0,0.005374503134344488,0.013789307818019075,0.00481785392827298,0,0.016121732030762212,0,0.19721848980462275,0.02411863311634646,0,0.4076942566979137,0.9216860777266737
GSM694082,0,0.05464672356968654,0,0,0.149874103939247,0.11759186699260482,0.007121653929036942,0,0.1606037776491704,0,0.02644489600221421,0,0.18855568226743324,0,0,0.0023373456719756693,0.02601681545087815,0.0025930102484972043,0,0.017983683444542573,0,0.2255497864215115,0.02068065441320174,0,0.4238708105318824,0.9171302361304416
GSM694083,0,0.046178939382053134,0.006454031843470695,0,0.08961173811575145,0.10463870199905598,0,0,0.21406442958215377,0,0.029144055869263382,0.03799001145778074,0.1293954904471431,0.002322772658085944,0,0.008750088117298884,0,0.004906555352480768,0,0.0070687311676575675,0,0.2552552425879942,0.06421921141981035,0,0.4017949387605221,0.9360627758434821
GSM694084,0,0.03257172134517648,0.010124379865186798,0,0.03443497029644733,0.17675888300745166,0,0,0.2366164856999341,0,0.03895070821321168,0.026115175943054764,0.07475026096546784,0.00472175979451223,0,0.006131071375469613,0,0,0,0.00998623180214499,0,0.28057818077657676,0.06826017091536564,0,0.39200638833308427,0.9418334094515027
GSM694085,0,0.058342502598990015,0.005408863064878184,0,0.17320698025826178,0.2482527918202265,0,0,0.12569937403233133,0,0.028203174842224316,0.01685477634797144,0.14144786319837097,0,0,0.005660138710225153,0.005792230727644485,0,0.005148601802915695,0.00504517508155583,0,0.15366092863660372,0.0272765988778005,0,0.38111658014606936,0.934343796994601
GSM694086,0,0.05802695030119665,0,0,0.1573370185491134,0.16118755662575582,0,0,0.12270689719609428,0,0.008615636558692876,0.03359766313275209,0.19114470447661425,0,0,0.0025859817266418637,0.010629599488335256,0,0,0.009222856304065122,0,0.21656659254676444,0.028378543093973887,0,0.3935736912003219,0.9345420934434134
GSM694087,0,0.0687762877962552,0.0017957201370257323,0,0.19304978070713957,0.10361069336091708,0,0,0.0898558328069466,0,0.03597163099770427,0.05708772604800391,0.1410779229986499,0,0,0.007708392714028145,0.022394606741159357,0.0007,0,0.02701178529052489,0,0.22945666121138117,0.021461661770240323,0,0.40318558195034027,0.9241001330052896
GSM694088,0,0.09517055198178136,0,0,0.0909289734988766,0.15996269801560273,0,0,0.1285384106535356,0,0,0.07226347487166017,0.1487179614077721,0,0,0.005389308070355015,0.01792864688918275,0,0,0.016834123835932795,0,0.2431028152506582,0.0211630355246427,0,0.4026455802529907,0.9259230977124223
GSM694089,0,0.05859295736976572,0,0,0.08929189164973118,0.24620870154671928,0,0,0.16830499482963482,0,0.017569688188625525,0.024032716181952476,0.1636812556593179,0,0,0.00892388814060747,0.025914954336138444,0.005263883565163698,0,0.019661877482616146,0,0.15361702474497252,0.01893616630475489,0,0.4199728474010099,0.9135925315424687
