"Taxa","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Taxa.Level"
"Ruminococcaceae_UCG-014",2.4449445492132,4.49403341759429,2.20464529176262,2.03843830768862,0.0415061185317626,1,"Genus"
"Bacillales",14.1587100679876,-5.18298041360744,2.67122240798311,-1.94030283592927,0.0523428969376696,1,"Order"
"Streptococcaceae",1.92482772230741,3.6166059260689,1.88331419706452,1.92034124295671,0.05481481006231,1,"Family"
"Marvinbryantia",3.29827599672534,-4.33306083237433,2.53399874926784,-1.70996960185016,0.0872714943673442,1,"Genus"
"Planococcaceae",2.15695572544085,-4.72910465004414,3.01514420006507,-1.56845057358851,0.116776016317457,1,"Family"
"Parasutterella",1.38863387707729,3.77344055736422,2.52031897097516,1.49720753635569,0.13433926500528,1,"Genus"
"Streptococcus",1.87524378000134,3.90795788387545,2.63589283970846,1.48259361116808,0.138182415594002,1,"Genus"
"Ruminococcaceae_UCG-005",12.0433294023351,2.56854838707231,1.75603144167081,1.46270068184452,0.143549299522445,1,"Genus"
"Verrucomicrobiaceae",5.43293153922217,2.90393872790867,2.09080283599497,1.38891084224436,0.164859863158926,1,"Family"
"Bacilli",16.3910232888548,-2.24291877706349,1.6717854709612,-1.34163073912463,0.179715754225835,1,"Class"
"Ruminiclostridium_6",1.37084264436128,-3.84116983191727,2.97048999015776,-1.29310983866109,0.195973072794602,1,"Genus"
"Akkermansia",7.24114607808927,3.00636575571827,2.35172910271558,1.27836397153345,0.201121121335332,1,"Genus"
"Ruminococcus_2",8.86976907919732,2.50480045997558,2.20391515840788,1.13652308729755,0.255737708764477,1,"Genus"
"Rikenellaceae",2.15571918498609,2.22901866024652,2.09837271857977,1.06226059865817,0.288117396312619,1,"Family"
"Bacteroidales_S24-7_group",6.88538104591012,1.39971151005693,1.36495142368802,1.02546617100482,0.305143279564868,1,"Family"
"Bacteroidetes",58.5875615630097,0.656516206567379,0.721574042011601,0.909839002435768,0.362907422268241,1,"Phylum"
"Lactobacillales",2.81972718490946,2.101461669367,2.39917674305624,0.875909486639161,0.381079241853997,1,"Order"
"Lachnospiraceae",67.9395830991248,0.933001300198247,1.07167864282314,0.870598015969067,0.383973680160994,1,"Family"
"Lachnospiraceae_NK4A136_group",0.49152141513048,2.47860795025392,3.05073923234955,0.812461427044028,0.416526911341914,1,"Genus"
"Ruminiclostridium_5",0.386517511719446,2.33076579573548,3.0531880010914,0.763387578787261,0.44523228548424,1,"Genus"
"Christensenellaceae_R-7_group",4.13699905984924,1.39660915335708,1.84489288523701,0.75701368059515,0.449041666365774,1,"Genus"
"Coprococcus_2",34.7540652131181,1.09270858900358,1.45769911099385,0.749611892305113,0.453488486280146,1,"Genus"
"Propionibacterium",0.355224632976664,2.24480256036742,3.05411617041853,0.735008897863829,0.462334075160295,1,"Genus"
"Thalassospira",0.345745190242719,2.20824132200073,3.05452707289705,0.722940497596027,0.469716441556555,1,"Genus"
"Lachnospiraceae_UCG-010",0.336528599662102,2.19134546742998,3.05472030497371,0.717363702287904,0.473149710300325,1,"Genus"
"Erysipelotrichaceae",3.34121175190187,-1.70101306390029,2.39704173069865,-0.709630142068703,0.477933522802842,1,"Family"
"Foraminifera",0.402268708825154,2.08030904053361,3.03268089598894,0.685963710618238,0.492735992640174,1,"Family"
"Mollicutes_RF9",0.567270877500135,-2.04693743114784,3.00214851407166,-0.681824174105126,0.495350136461496,1,"Order"
"Lactococcus",0.308090271460268,2.0687919686942,3.05618763018836,0.676919161722636,0.498457245715039,1,"Genus"
"Tyzzerella",0.308090271460268,2.0687919686942,3.05618763018836,0.676919161722636,0.498457245715039,1,"Genus"
"Chungangia",0.339430017572054,-2.03651811626336,3.0439458438971,-0.669038879369828,0.503470677088389,1,"Genus"
"Propionibacteriaceae",0.382737597260363,2.02353352152799,3.03311670561411,0.667146607904191,0.504678491613394,1,"Family"
"Verrucomicrobia",3.24305208486881,1.42294755720831,2.18104419804224,0.652415736685016,0.514133015249635,1,"Phylum"
"Parabacteroides",0.331127492897613,-1.98421259410368,3.04534828103413,-0.651555228169135,0.514688138192009,1,"Genus"
"Rhodospirillaceae",0.336520990471012,1.88309108167636,3.03426929643889,0.620607763419815,0.534857730401154,1,"Family"
"Ruminococcaceae_NK4A214_group",0.252182815225228,1.87861694064055,3.05870924123816,0.614186178703305,0.539092305541332,1,"Genus"
"Sporobacter",1.09651950517527,-1.72379614316003,2.85748273936442,-0.603256887404137,0.546337808698354,1,"Genus"
"Fulvimonas",0.254777459200163,1.84094201370409,3.05924668084298,0.601763180861512,0.547331786963112,1,"Genus"
"Parasporobacterium",2.15563088251962,-1.46169086769795,2.47444685008435,-0.590714190384862,0.55471193832463,1,"Genus"
"Deferribacterales",0.0695773872883791,-1.78856342987627,3.03687895057006,-0.588947883332834,0.555896235138316,1,"Order"
"Acetatifactor",0.219670009449378,1.76639168125167,3.06003805213024,0.577245005179593,0.563773958565452,1,"Genus"
"Deferribacteres",0.0714438083993682,-1.74231318650747,3.03453817566943,-0.574160905431057,0.565858921827713,1,"Class"
"Corynebacteriaceae",0.291827617956016,1.73676758022147,3.0355919523886,0.572134729391039,0.567230702442382,1,"Family"
