NAME	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells gamma delta	T cells regulatory (Tregs)	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Blood neutrophil	V neutrophil
A2M	14.109879316118263	16.074746787136977	28.308834954145055	15.072057294042265	13.24102939523233	13.593320432599276	11.018111529111376	47.96528306231571	81.73566799753553	16.996916498445014	43.53020540006966	12.123165629259642	29.000311716641367	1912.6719098618069	1496.544594413889	6953.119171443835	8947.626500845156	7059.68826779476	662.6263945093203	946.2842657320932	10.909462994648607	34.573021775130144	75.27285192589167
ABCA1	440.6460218694101	376.83610034651497	114.76129987749523	72.81756648348757	127.13428954524971	61.58664097520273	83.69790875132409	83.80374732398062	117.39122015275083	76.10012190040968	67.53009053875107	51.72795369292268	430.5731330487474	1445.7608771421783	657.8935262358752	2816.4415369895255	118.3906711742647	88.30551858081569	1339.4919194014767	1229.6967049706827	3862.186486579849	878.1989258023741	1084.040135317852
ABCB1	362.75366931476157	178.92581657234982	78.34998264503207	605.2777660475073	193.22492110888285	277.098716224279	188.35182745286747	84.23395593274279	1035.6473545747726	39.27733140570407	1019.9869550750582	409.5620314560165	37.62395871953311	34.489690578287174	52.78732281909553	39.027344563219465	62.35492360329898	47.59785330933731	141.52165985085057	188.03348442110604	23.196827202643625	118.75988404566743	96.09704120260434
ABCB4	435.90404583498025	8.513276553659598	6.242548057851451	4.318031358769984	4.5256437990422285	6.381188108600508	6.799993716040509	5.794787818560708	7.603576806832907	6.590046515679479	10.275697554577084	4.514445833331274	5.598785257247293	6.713366300107907	18.226778283164123	75.99428926369161	71.61556389603429	4.691112293774377	4.598782454135675	21.697806502018107	11.056579693608029	12.73033731619351	9.317258032492337
ABCB9	11.390102283003221	15.19825088811698	528.6674667951327	16.390379897748964	22.973945152461525	19.68723478115674	24.343460561878903	12.63280394235446	13.780104983493736	28.550713348622352	15.031974899685146	11.931798334933656	14.120950702800004	34.234341514139224	19.271017466973507	25.38010558803329	77.56231637656097	15.968663543402291	33.2819870844353	16.02281292560135	19.460797382236535	7.071792899483585	10.389904545430937
ABCC3	15.331197806302574	15.958985269684137	14.32518548937033	13.173259517200329	17.718229363096047	15.311304143714917	14.633624470299747	14.253529677389311	15.055606670371692	14.809252989252169	17.2036956279245	12.091150360165845	145.9836874203486	1416.4741768676722	77.16875333638284	1235.4179670495428	1595.6536123198016	576.1934612212989	16.81019816473002	47.58495076643198	20.034038909844007	11.5523409635927	13.064862121114771
ABCC4	40.03785063006177	145.54625476751124	279.17215360249827	149.75081096712802	81.63944117374476	107.45239297814516	138.73363979595467	99.69171546465218	197.31781787996343	47.63265074409112	94.11286285206278	146.34054561294832	50.43898099159924	143.65503806878803	1515.6309381586775	251.34150152434015	360.8163468970025	506.2818729103601	3319.090547486382	1812.6968503041917	99.76921796516817	24.402948935155457	13.073801223003432
ABLIM1	1335.6603811864575	1527.4101103687394	127.29109971658339	2029.6454267483034	4482.262909105659	1877.9777898752352	573.8413688675897	1200.6637532621535	830.0373490275107	1673.058332589894	1067.4326833824257	179.14180814670584	80.38694234476613	71.06372595914279	69.21911943497253	69.74583158795438	72.18518339396883	170.1113732750348	57.296749589385385	49.320753819052385	120.78944601530455	112.69461475453198	171.263704270021
ACAP1	144.83718480398977	229.9864370609651	24.446357738773692	884.5742465428457	1533.637236812588	766.5059437316391	246.52276949312142	932.621918840012	205.594145461484	1716.5228932994855	393.50886410008843	283.0829094033458	125.61818062812506	30.11358244376909	20.103725967122326	15.783464156212746	37.357807759583395	17.60321214744682	68.52835617063246	47.11401927252619	561.8581813865891	1420.3937853659554	1300.7556804422127
ACHE	11.097716292990777	12.045308500296077	15.207140278077734	10.18639321736056	18.18158507582709	13.131825914327269	10.126011259246757	10.948687789950736	21.61340150894576	16.656076953333017	12.023962701584406	10.117506634351587	11.877288564090243	10.291571443510724	1162.0318590250888	29.796777978034548	12.087776194378321	127.79894329294578	10.354642836110887	14.172192324745644	25.56818087746426	5.588051860437434	7.48966715242726
ACP5	481.734680702144	1663.696286785727	951.6252549552062	217.54825861504088	604.1275943401562	434.5619747069298	171.1547610187733	576.1052047728848	378.3330775595016	798.0560342097556	244.71041722292796	163.53372413991667	393.6221252147774	11744.881067031265	886.0803210084047	6563.567440335366	12042.248130858206	3448.501575813584	185.8018311499067	230.43720491945282	706.2026111072145	296.9938557973468	131.56060886962553
ACPP	224.56603027176342	129.24258645563748	95.06268765075943	30.92336234578817	44.57368500930587	39.37467304978542	33.07222461019869	42.09806697046574	121.79692120108972	17.3171522321907	45.57049160801914	44.55541251121544	467.40178962333266	82.70870915610621	450.1292874083282	126.19556261681147	144.34176711810738	224.36363989634597	176.4362771554525	180.00981644676284	1709.9159444980223	872.4888335803167	738.0481379326332
ADAM28	1669.4504463477301	966.3944538129109	233.67773893661325	15.567258868621199	25.270712824602214	14.764071937229362	11.214999444556428	16.492661928072717	16.432722010569982	47.918235869449454	127.89799787356642	58.027913341065776	35.59441337523336	33.566357620729526	190.68950736139357	259.9275063481419	23.699546055637303	32.53717789758322	87.48730167642027	73.28559183662114	424.6725845566106	169.24463903573326	48.31533317385873
