"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",31.7831310378298,1.06058684031514,1.10792711044228,0.957271313535924,0.338430330541119,0.541335192826859
"A1BG-AS1",24.873735547674,2.26920232809139,1.47868737165295,1.53460587517886,0.124880668634734,0.294181870242068
"A1CF",0,NA,NA,NA,NA,NA
"A2M",1284.06674552169,1.08256287460366,0.627573455051231,1.72499787218579,0.0845278559809702,0.234157594703282
"A2M-AS1",6.39137340709555,1.19151473216187,2.6306444729301,0.452936436079757,0.650594513154217,0.795021904578654
"A2ML1",5.65899955838224,-2.30038220537534,2.40700169429284,-0.95570443960621,0.339221578896916,0.542270092771646
"A2MP1",2.67028589019517,-4.8063616400236,3.65924647745124,-1.3134839835581,0.189019914408553,NA
"A3GALT2",70.5726338000199,-1.53949162228883,0.980352379108342,-1.57034516883514,0.116334831210247,0.28201173000894
"A4GALT",58.5228600025846,0.187408591392191,0.944211749288143,0.198481528675619,0.842668335248133,0.917702159250473
"A4GNT",5.82684440084736,-5.93106460175359,3.51015224180867,-1.68968870669196,0.0910875249513352,0.244434562651171
"AA06",0,NA,NA,NA,NA,NA
"AAAS",225.668940253927,0.0132008606052153,0.524604945084461,0.0251634315095714,0.979924605141648,0.990990794975506
"AACS",250.543702232089,1.11410379596697,0.517494665440753,2.15287976933651,0.0313281288297251,0.129203065497702
"AACSP1",1.65261725492617,4.59642835035984,4.1005184044874,1.1209383538749,0.262314103673685,NA
"AADAC",20.9538018821001,-0.556159102344757,2.13105120628836,-0.260978760483853,0.794108886489976,0.887456683398245
"AADACL2",0,NA,NA,NA,NA,NA
"AADACL2-AS1",0.639360246571106,1.22845510122067,4.15982029871667,0.295314463848271,0.767753668427529,NA
"AADACL3",1.67157316648638,-4.13329440819376,4.23416865224626,-0.976176139323362,0.328977185325384,NA
"AADACL4",0,NA,NA,NA,NA,NA
"AADACP1",5.05300912596131,4.65395296231274,2.67964437552265,1.73678007605208,0.0824259971346787,0.23105405817365
"AADAT",24.9720291294925,1.29150983253884,1.49423922822987,0.86432601161784,0.387408824846604,0.587918591926425
"AAGAB",507.701960378507,0.127646169140743,0.453672521420108,0.281361914407288,0.778432826538772,0.877309103864577
"AAK1",1684.93855464545,-0.706202455004149,0.386356077304096,-1.82785388010943,0.0675714843238884,0.204688332312069
"AAMDC",75.5377786244331,1.29990436653314,0.741231802700924,1.75370830258026,0.0794805021706313,0.225832387996974
"AAMP",555.654245565756,0.55451800164,0.506200987324966,1.09545025696288,0.273319426697617,0.474883544033266
"AANAT",37.0318329773003,-2.52253012598841,1.09520717381106,-2.3032447068536,0.0212650787241642,0.102961519471398
"AAR2",256.877351916088,0.579134909350557,0.533353482647986,1.08583693215103,0.27755114356366,0.479646417541342
"AARD",18.0353795349345,-0.714098567218046,1.19466836282389,-0.597737907388877,0.550014827578994,0.72308594992088
"AARS",709.147244325723,1.1223820681117,0.750538146893098,1.49543640487545,0.134800585475718,0.308000103627456
"AARS2",137.020049511958,0.994736695016736,0.649519932409222,1.5314952557761,0.125647038053785,0.295418586653609
"AARSD1",12.7171447371474,1.54107500761318,1.3907191211038,1.108113769508,0.267812684999859,0.470208996865666
"AASDH",119.99647869708,0.561123539188213,0.575322358273591,0.975320237635149,0.329401434900051,0.532741744506663
"AASDHPPT",205.719737016981,-0.768942632346372,0.532890645153779,-1.44296515493244,0.149030287300764,0.328324871471882
"AASS",92.6571459438463,-0.107565076217241,1.24116279267526,-0.0866647605390994,NA,NA
"AATBC",73.8795166618448,1.20731074872222,0.857962071535726,1.40718429028124,0.159372748752832,0.341430596057873
"AATF",1442.82620949395,-0.79146448228333,0.441819134816553,-1.79137665147064,0.0732328731304068,0.214818344614739
"AATK",3614.85813120791,-1.82006300424868,0.525546159359863,-3.46318391226679,0.000533823387170275,0.0106869462831755
"ABALON",6.74201648025982,2.84181458181035,2.68003627377038,1.06036422328433,0.28897893184048,0.490892498448
"ABAT",1108.94681164917,-1.07279976984824,0.602153113759255,-1.78160628141692,0.0748134593862654,0.21785272110072
"ABCA1",5039.5117523046,0.243351193572892,0.551225031334955,0.441473408752039,0.65887030813715,0.800044977555961
"ABCA10",14.7011117261369,-2.23143324625584,1.47463474280852,-1.51321081856918,0.130226117061004,0.301417716464946
"ABCA11P",14.7383076015505,0.451291735958009,1.81080496326712,0.249221614206188,0.803189361084286,0.892983908114421
"ABCA12",120.775818791737,6.04001831921651,1.21571545840046,4.96828289669317,6.75483696733489e-07,7.25177175709555e-05
"ABCA13",315.202770646759,0.647901369990855,1.02020969417874,0.635066862908424,0.525384807927993,0.705425754022109
"ABCA17P",5.64207071669748,0.43586136672905,3.57093452571902,0.122058067318187,0.902853030932843,0.948124606333669
"ABCA2",2942.77449420252,-1.61374446973957,0.694170496940671,-2.32470909791128,0.0200875204736738,0.0993980325756615
"ABCA3",3008.35633019907,-1.13362808255104,1.86448921671483,-0.608009996726321,NA,NA
"ABCA4",22.481015793696,2.92947421841636,1.90038109300237,1.54151934535833,0.123190438356569,0.291772683182803
"ABCA5",527.589340708768,-0.515476864476789,0.551651583978504,-0.934424697486006,0.350084862840779,0.551757937091268
"ABCA6",24.9327979133593,-0.66227712996138,1.33063856806863,-0.497713763792861,0.618685805494644,0.772283978671656
"ABCA7",6304.13152702447,-1.35212755454684,0.649451221844236,-2.08195397755543,0.0373466736689458,0.14373323686587
"ABCA8",48.8596954242459,-2.83309333779049,1.24109949964643,-2.28272861168472,0.0224463593377201,0.106258448871033
"ABCA9",20.2619009755257,2.40086850945376,1.15562407864336,2.07755147527926,0.0377506894700085,0.144415002961504
"ABCA9-AS1",0.93807862989109,-1.66169523045809,4.26141398980076,-0.38993987311141,0.696581008599851,NA
"ABCB1",52.3567022499572,-1.14134534301624,1.37069900230922,-0.832673943070951,0.405028643955053,0.604267846056633
"ABCB10",353.591494981094,0.788655634989711,0.542994806819695,1.45241837506485,0.146385310107888,0.324558154946933
"ABCB11",25.2944745909321,-2.92862855719478,1.03545142077027,-2.8283592049313,0.00467872764063844,0.0407816107497943
"ABCB4",9.490879489654,3.29444621958623,2.00748630630889,1.64108029491052,0.100780748565417,0.259340199350145
"ABCB5",6.87438735025281,-0.915127038231469,1.59097096007337,-0.575200340670749,0.565155812416921,0.734376954703395
"ABCB6",265.531551691083,1.42685451139082,0.66626977356453,2.14155672072167,0.032229169564367,0.131653086515174
"ABCB7",239.544778176039,0.441544578199386,0.571568550029662,0.772513774903241,0.439810191554738,0.635888074923012
"ABCB8",253.985400694594,0.921128138884544,0.644668578732218,1.4288398244816,0.153050276300306,0.333550151293834
"ABCB9",68.1979873525309,0.657863090212121,0.697845367432121,0.942706107848614,0.345831248362269,0.548225954491935
"ABCC1",1458.24122957832,0.675327770609845,0.4850827725479,1.39219079470228,0.163864629559182,0.348280847830188
"ABCC10",363.858721301817,1.05150231615953,0.45908738185647,2.29041868218516,0.0219970575588959,0.104943342688724
