"Gene","airspace","bldvat","endotox","exercise","lcanc","sepsis","syno","tb"
"206559_x_at",1,0,0,0,0,0,0,0
"212952_at",1,0,0,0,0,0,0,0
"214388_at",1,0,0,0,0,0,0,0
"215137_at",1,0,0,0,0,0,0,0
"216342_x_at",1,0,0,0,0,0,0,0
"216348_at",1,0,0,0,0,0,0,0
"216380_x_at",1,0,0,0,0,0,0,0
"216505_x_at",1,0,0,0,0,0,0,0
"216559_x_at",1,0,0,0,0,0,0,0
"216570_x_at",1,0,0,0,0,0,0,0
"217024_x_at",1,0,0,0,0,0,0,0
"217092_x_at",1,0,0,0,0,0,0,0
"217142_at",1,0,0,0,0,0,0,0
"217256_x_at",1,0,0,0,0,0,0,0
"217379_at",1,0,0,0,0,0,0,0
"220467_at",1,0,0,0,0,0,0,0
"220882_at",1,0,0,0,0,0,0,0
"221159_at",1,0,0,0,0,0,0,0
"221798_x_at",1,0,0,0,0,0,0,0
"222229_x_at",1,0,0,0,0,0,0,0
"A2M",0,1,0,0,0,0,0,0
"AA393940",1,0,0,0,0,0,0,0
"AA502643",1,0,0,0,0,0,0,0
"AAGAB",1,0,0,0,0,0,0,0
"AAMP",1,0,0,0,0,0,0,0
"AAR2",1,0,0,0,0,0,0,0
"AARD",0,1,0,0,0,0,0,0
"AARS",1,0,0,0,0,0,0,0
"AATK",0,1,0,0,0,0,0,0
"ABCA1",0,0,0,0,0,1,0,0
"ABCA10",0,1,0,0,0,0,0,0
"ABCA12",0,0,0,0,1,0,0,0
"ABCA13",0,1,0,0,0,0,0,0
"ABCA6",0,1,0,0,0,0,0,0
"ABCA8",0,1,0,0,0,0,0,0
"ABCA9",0,1,0,0,0,0,0,0
"ABCB4",1,0,0,0,0,0,0,0
"ABCC1",1,0,0,0,0,0,0,0
"ABCC10",1,0,0,0,0,0,0,0
"ABCC3",0,0,0,0,1,0,0,0
"ABCD3",1,0,0,0,0,0,0,0
"ABCE1",1,0,0,0,0,0,0,0
"ABCF1",1,0,0,0,0,0,1,0
"ABCF2",1,0,0,0,0,0,0,0
"ABCF3",0,0,0,0,0,0,1,0
"ABCG1",0,0,0,0,0,0,1,0
"ABHD11",0,0,0,0,0,1,0,0
