"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"--Control",36370.5433664764,-0.0117255116414099,0.0360061827166705,-0.3256527284127,0.74468711337125,0.998715267673835
"1552563_a_at",5.61260964370161,-0.0157918195669448,0.262823177203858,-0.0600853384962161,0.952087667049547,NA
"1552829_at",60.7488346063328,-0.400410631183677,0.257355765843027,-1.55586423281422,0.119740380115025,0.988434158386102
"1552867_at",11.2969663885114,-0.134316622470461,0.205423508285853,-0.653852246956834,0.513207001927408,0.998715267673835
"1552961_at",15.9365510042145,0.0290184002272565,0.180616454744981,0.160663103858553,0.872358750703646,0.998715267673835
"1552974_at",15.6798205393939,-0.0019189415970947,0.187201694171482,-0.0102506636256021,0.991821296986442,0.999084079047981
"1552975_x_at",16.3885512138228,-0.0520588879596964,0.188994351602278,-0.275452083717559,0.782968934010667,0.998715267673835
"1553069_at",3.03327278408017,0.00580561897926545,0.348918238779602,0.0166389094464409,0.986724683599457,NA
"1553083_at",3.11492959914789,-0.0720807774889118,0.344714466572169,-0.209102850268168,0.834367949697299,NA
"1553275_s_at",5.09582806839865,0.0295682320477743,0.273066956304771,0.108281984931099,0.913772012527834,NA
"1553354_a_at",6.35283330007895,0.0248999067086546,0.246378277730106,0.10106372582055,0.91949987317071,NA
"1553355_at",3.07410119161403,-0.0336654307127737,0.346712365445324,-0.0970990194408936,0.922647759556307,NA
"1553356_at",5.05545464013362,0.00580278722574087,0.274100193328899,0.0211703142389906,0.983109794779024,NA
"1553372_at",13.7603952459023,-0.0990875421970543,0.17788168723343,-0.557041839090633,0.577498843576427,0.998715267673835
"1553398_at",5.21683532606053,0.00585898498196287,0.269993686465379,0.021700451809321,0.98268690336682,NA
"1553439_at",4.04436371210689,0.00580407691160735,0.304474261836127,0.0190626192066481,0.984791151559435,NA
"1553456_at",5.09457014226261,-0.0179096153239088,0.273053969059702,-0.0655900201179386,0.94770423479654,NA
"1553462_at",16.3274696157224,0.0057375856521949,0.172713869339102,0.033220178982441,0.973499006501452,0.998715267673835
"1553475_at",7.10870263575815,-0.0112726050277879,0.233588964367248,-0.048258294471759,0.96151039199372,NA
"1553498_at",20.7191306246869,-0.0464302823467455,0.152701512240957,-0.304059086680689,0.761082876092533,0.998715267673835
"1553546_at",9.07017960026491,0.0589435659339115,0.209280220083152,0.281649005866354,0.778212659435172,NA
"1553547_at",4.5835272089716,0.0322440725655195,0.287018526648871,0.112341432945079,0.910552690974161,NA
"1553881_at",5.47154175401614,0.00577619851252338,0.264828383895916,0.0218111005608582,0.982598639327107,NA
"1554007_at",9.263933485969,0.301531732087306,0.320751123647619,0.940080049161642,0.347176501597875,NA
"1554232_a_at",5.05545464013362,0.00580278722574087,0.274100193328899,0.0211703142389906,0.983109794779024,NA
"1554281_at",9.24234501386117,0.00581144824520742,0.207042214368958,0.0280689049956313,0.977607194516027,NA
"1554372_at",6.27149706774337,-0.0911244709064172,0.248466635528801,-0.366747312823233,0.713807511362921,NA
"1554374_at",5.05545464013362,0.00580278722574087,0.274100193328899,0.0211703142389906,0.983109794779024,NA
"1554404_a_at",4.04436371210689,0.00580407691160735,0.304474261836127,0.0190626192066481,0.984791151559435,NA
"1554615_at",9.84317074733782,0.0680469678624094,0.214644277356808,0.317022045499462,0.751226874502004,NA
"1554723_x_at",5.29902251241328,0.0515672703009993,0.268026450137506,0.192396199235351,0.847431869360121,NA
"1554951_at",6.47587393985386,0.00590565473672963,0.244018378339522,0.0242016801230955,0.980691737979479,NA
"1554963_at",17.1493668612297,-0.0512299239184948,0.157296666449431,-0.32568982595041,0.744659042614334,0.998715267673835
"1554964_x_at",12.5527087909465,-0.0234713345428621,0.18181936020818,-0.129091503324991,0.897285245118059,0.998715267673835
"1555059_at",3.03327278408017,0.00580561897926545,0.348918238779602,0.0166389094464409,0.986724683599457,NA
"1555084_at",5.00618039065245,-0.0182710449253418,0.275363971241146,-0.066352343928615,0.947097310577232,NA
"1555129_at",4.04436371210689,0.00580407691160735,0.304474261836127,0.0190626192066481,0.984791151559435,NA
