"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AAGAB",44.9534029592049,-0.128652011505865,0.231158076430032,-0.556554257124587,0.577832014292373,0.717191877478788
"AAK1",209.158555539812,-0.145543886134692,0.231146324208629,-0.629661261683429,0.528916232824608,0.677821999123862
"AAMDC",382.079985686623,0.222018504360091,0.225049999609595,0.986529681160797,0.323873257614111,0.486815172761586
"AASDH",18.4843911832225,0.337268726287752,0.242636802329212,1.39001471767726,0.164524408207616,0.301572813892796
"AASDHPPT",80.1605078495718,-0.737592766448788,0.220236404610281,-3.34909556734725,0.000810758252302608,0.00489685676865124
"AATF",177.335986168192,-0.216940944106992,0.129066728479319,-1.68084328674802,0.0927933582182975,0.198428793556494
"AATK",87.2599048272241,0.0580790503769164,0.115592827985643,0.502445103117731,0.61535445909736,0.747727903533841
"ABAT",110.593160777709,-0.375058430300542,0.233917828807939,-1.60337684481711,0.10885148002868,0.222455384225547
"ABCA1",324.548937052159,1.03956158755055,0.299975103783432,3.46549288403968,0.00052926053270342,0.00350585802918808
"ABCA7",21.3748877282407,0.118594399315609,0.182512912788791,0.649786349379286,0.515830237684037,0.669393477073899
"ABCC1",159.020889177518,0.078872055965633,0.197288189350133,0.399780930756359,0.689317877169961,0.802670130979326
"ABCC10",8.40743122205757,0.239456353206153,0.24663060891324,0.970910927322851,0.331592636176302,0.494839369677111
"ABCC5",121.13945086523,-0.0793178608624033,0.282456862246507,-0.280814069205303,0.778853011994545,0.864598275448459
"ABCG1",290.639122197686,0.159857270893059,0.460031049240907,0.347492351128991,0.728221463850101,0.830787711291553
"ABHD10",30.5239547684281,0.365541204571513,0.268151934726584,1.36318689978586,0.172823614837781,0.312555435243556
"ABHD11",24.7996283224904,0.610901168045385,0.242124097123899,2.52309115574224,0.0116328242006696,0.0406446536012419
"ABHD12B",15.7995052600765,0.335808510630136,0.221347293881437,1.51711143489294,0.129238551682999,0.252992810582402
"ABHD13",20.0650016655901,-0.176255784771117,0.170852979522757,-1.03162254040551,0.302248976878473,0.464874845810186
"ABHD16A",277.226516255412,0.186905991155673,0.172207939550165,1.08535060371724,0.277766401264727,0.436931285013899
"ABHD17B",108.269997000354,0.0469719643743488,0.146656797018201,0.320284946414856,0.748752333624944,0.844984463013011
"ABHD18",28.6636052142036,-0.133739885098778,0.253145794737012,-0.528311699736975,0.59728301250709,0.733186204708858
"ABHD2",1184.39918350177,-0.57183509080323,0.156679335033474,-3.64971609485743,0.000262530306329254,0.00201937910385735
"ABHD3",32.9609017419875,-0.434412907719476,0.194177381612893,-2.23719623836266,0.025273517112769,0.0744866712684666
"ABHD4",31.6888620515789,-0.387918045034374,0.176036444683101,-2.20362349246885,0.0275508337242503,0.07936136085456
"ABHD5",1276.45965439974,0.227270842970697,0.162211899944582,1.40107379944592,0.161192005568478,0.297049293990987
"ABI1",760.038634213041,0.023044223662614,0.142070794104781,0.162202399218084,0.871146470517601,0.925046895051121
"ABITRAM",44.9628915776511,-0.108928311155981,0.169871878239187,-0.641238045314393,0.521368034755511,0.672685226845071
"ABL2",45.1784476935048,0.416119131060063,0.234676645578321,1.77315953206425,0.0762022756044176,0.172063467904125
"ABR",150.231846114238,-0.0668817978336525,0.181319179202423,-0.368862235797937,0.712230412962197,0.820495622315843
"ABRACL",206.241004393658,1.25573615113394,0.316472861686614,3.96791100646547,7.25053976136346e-05,0.000682794913030175
"ABRAXAS1",21.4988814445205,0.51679377680174,0.206294527556371,2.50512596200849,0.0122407791350281,0.0422585683153953
"ABRAXAS2",39.1876415210679,0.373237320021283,0.233906691273968,1.59566756294339,0.110563034332707,0.225302265224716
"ABT1",25.0881043082553,0.0040041906515299,0.156223302281644,0.0256311996549083,0.979551500513907,0.98746236773896
"ABTB1",226.108673480499,-0.0265839922188639,0.173558191530341,-0.153170484115217,0.878263833243652,0.929050774747273
"ACAA1",508.853944563163,1.12754932822849,0.124076562024081,9.08752877928437,1.0131559131148e-19,4.03109408930552e-17
"ACACB",183.065502164431,1.94096145066161,0.590853914912562,3.28501073052692,0.00101978487749214,0.00592331252747718
"ACAD8",17.346638814554,-0.02365027474845,0.217672303656251,-0.108650822135822,0.913479449088875,0.949422069044861
"ACADVL",58.9934542531998,0.280567409106345,0.337217490429846,0.832007286302707,0.405404831765806,0.568961013893545
"ACAP1",59.2429028312327,0.745390839210002,0.191862901303488,3.88501807356153,0.000102322276070979,0.000921334666856933
"ACAP2",2092.63521305413,-0.310603088784232,0.132051558716854,-2.35213496760178,0.0186660006600513,0.059177171415282
"ACAT2",256.081510275381,0.405229842306849,0.255784272619638,1.58426410723635,0.11313363010395,0.229201237110144
"ACBD3",217.983378258843,-0.43120830396307,0.145860903166795,-2.95629805246698,0.00311356051931972,0.0145528092995516
"ACBD5",122.343722825261,0.127622869785924,0.208285040906083,0.612731808442593,0.540053686644183,0.687321425265267
"ACD",21.8001090585169,-0.611605844382857,0.198958661532277,-3.07403477522709,0.0021118481419424,0.0106458054975858
"ACER3",144.812619756888,3.14309255551389,0.474707710187812,6.62111123973606,3.56508550166888e-11,2.67003932983813e-09
"ACIN1",43.7669699678883,-0.0239648441371599,0.177483757604977,-0.135025562116496,0.892591663758851,0.937403056928948
"ACLY",317.926979730824,0.0787787121284811,0.148294338471335,0.531232095173404,0.595257954611414,0.731762454221965
"ACOT13",278.873185310333,0.898736147569719,0.183670702377685,4.89319274078689,9.92131565726288e-07,1.94335678381955e-05
"ACOT9",90.626020402216,0.0175919157701296,0.324011023240212,0.0542941891118545,0.956700779143489,0.974842104485983
