"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"7A5",10.0456769429401,0.0102500197241285,0.328779900023088,0.0311759317507206,0.97512923426274,NA
"A1BG",10.9579322912186,-0.11117526857803,0.322672435537962,-0.34454529217123,0.730436240417528,NA
"A1CF",10.4093133065764,-0.127252506141125,0.323960464838636,-0.392802579180484,0.694465299569291,NA
"A26A1",15.7993105098454,0.303874723646857,0.32198098202285,0.943766062634383,0.345289206618119,0.686264994040508
"A26B1",10.0456769429401,0.0102500197241285,0.328779900023088,0.0311759317507206,0.97512923426274,NA
"A26C1B",10.6042976778143,0.129437596974373,0.330549852201874,0.39158267992606,0.695366587362132,NA
"A26C3",27.4612438760448,0.229914268286456,0.314720348195806,0.730535123021067,0.465063151971592,0.766614322779816
"A2BP1",10.5002223974855,-0.159673573346893,0.323370712659677,-0.493778709993869,0.621462470443144,NA
"A2M",10.0456769429401,0.0102500197241285,0.328779900023088,0.0311759317507206,0.97512923426274,NA
"A2ML1",10.2274951247583,0.050820717355167,0.32839492986287,0.154754878147444,0.87701456457899,NA
"A3GALT2",10.5911314883946,-0.191381964434834,0.323025172803765,-0.592467648182629,0.553537478428473,NA
"A4GALT",10.0456769429401,0.0102500197241285,0.328779900023088,0.0311759317507206,0.97512923426274,NA
"A4GNT",10.0456769429401,0.0102500197241285,0.328779900023088,0.0311759317507206,0.97512923426274,NA
"AAA1",10.0456769429401,0.0102500197241285,0.328779900023088,0.0311759317507206,0.97512923426274,NA
"AAAS",10.0456769429401,0.0102500197241285,0.328779900023088,0.0311759317507206,0.97512923426274,NA
"AACS",13.4172244045456,-0.26125368421995,0.313282008327269,-0.833924953478439,0.404323274671631,NA
"AACSL",10.0456769429401,0.0102500197241285,0.328779900023088,0.0311759317507206,0.97512923426274,NA
"AADAC",10.0456769429401,0.0102500197241285,0.328779900023088,0.0311759317507206,0.97512923426274,NA
"AADACL1",17.7322567557444,-0.222671461910966,0.378021059010422,-0.589045124877096,0.555831003262886,0.821992681200234
"AADACL2",10.0456769429401,0.0102500197241285,0.328779900023088,0.0311759317507206,0.97512923426274,NA
"AADACL3",10.5002223974855,-0.15967410484577,0.322025008719059,-0.495843802569611,0.620004617917945,NA
"AADACL4",10.0456769429401,0.0102500197241285,0.328779900023088,0.0311759317507206,0.97512923426274,NA
"AADAT",11.138168253443,-0.271012036908404,0.32380173852161,-0.836969060591738,0.402609959299288,NA
"AAK1",19.6184624023116,0.0433694595524821,0.356158966122333,0.12176995015643,0.903081213111762,0.970961465802032
"AAMP",18.1639921996132,0.147891070014374,0.369354573860532,0.400404057457854,0.688858936242635,0.886820893755729
"AANAT",10.0456769429401,0.0102500197241285,0.328779900023088,0.0311759317507206,0.97512923426274,NA
"AARS",20.431897561712,0.133654612642838,0.384785910244829,0.347347990361179,0.72832990132705,0.905074911916336
"AARS2",20.9819198014605,0.135436974683807,0.433228940063725,0.312622177696358,0.754567726739716,0.917000788377209
"AARSD1",10.0456769429401,0.0102500197241285,0.328779900023088,0.0311759317507206,0.97512923426274,NA
"AASDH",11.9603056206094,-0.193775527235612,0.326994117184662,-0.592596371164016,0.553451308244877,NA
"AASDHPPT",40.1615084414709,0.331173322283442,0.432605640462928,0.76553167898841,0.443955009997553,0.753153461069246
"AASS",11.1365860338492,-0.319820726839609,0.320449997039035,-0.998036292072896,0.31826176059717,NA
"AATF",370.061872129479,-0.181983445559421,0.227927129593479,-0.798428190114967,0.424622049690391,0.74170330122861
"AATK",56.8726295046238,-0.744286574795739,0.397070835024807,-1.87444281761273,0.0608694165836001,0.300444390231151
"ABAT",20.8852187256385,-0.431119806475813,0.364315362465007,-1.18336982431594,0.236662611075523,0.579279064506611
"ABCA1",1790.25279377196,0.228146404078216,0.297804014651789,0.766095797415554,0.443619303416514,0.752999999781206
"ABCA10",10.0456769429401,0.0102500197241285,0.328779900023088,0.0311759317507206,0.97512923426274,NA
"ABCA11",10.0456769429401,0.0102500197241285,0.328779900023088,0.0311759317507206,0.97512923426274,NA
"ABCA12",10.0456769429401,0.0102500197241285,0.328779900023088,0.0311759317507206,0.97512923426274,NA
"ABCA13",26.0481188080667,1.81638959362617,0.753578435030894,2.41035240552194,0.01593711822574,0.150629436220707
"ABCA2",29.5167436047294,0.277852486671051,0.339536351449643,0.818329128780368,0.413169277651353,0.732495597544144
"ABCA3",10.7729496702128,0.166071435250841,0.32889866994838,0.504931914978271,0.613606657250691,NA
"ABCA4",24.0014901211025,-0.343999965751024,0.308341849704554,-1.11564474974979,0.264574228999116,0.611941367258779
"ABCA5",11.1397504730368,-0.172574941993142,0.320712178740308,-0.538099122618234,0.590508618160278,NA
"ABCA6",14.9595145108125,-0.515281580687788,0.308422695318404,-1.67069929842819,0.0947810875218632,0.377543894879201
"ABCA7",431.993911938791,-0.215044747405729,0.328916423584161,-0.65379753635411,0.513242253941942,0.799061960942735
"ABCA8",10.8638587611219,-0.282529787146139,0.318856126346077,-0.886072945763285,0.375578220522986,NA
"ABCA9",15.6109092333174,-0.474820776170239,0.354798828879785,-1.33828168956871,0.180804628385992,0.514751262324093
"ABCB1",10.5002223974855,-0.159673573346893,0.323370712659677,-0.493778709993869,0.621462470443144,NA
